Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2019-06-18 00:00:00,BUTTER (CASH SETTLED) ,887,3457,41,55,-2570,4344,8346
2018-11-20 00:00:00,BUTTER (CASH SETTLED) ,250,1756,57,301,-1506,2006,7153
2018-09-04 00:00:00,BUTTER (CASH SETTLED) ,962,1057,-188,-101,-95,2019,5819
2018-09-11 00:00:00,BUTTER (CASH SETTLED) ,978,1221,16,164,-243,2199,6378
2018-09-18 00:00:00,BUTTER (CASH SETTLED) ,944,1203,-34,-18,-259,2147,6502
2018-09-29 00:00:00,BUTTER (CASH SETTLED) ,853,1184,-91,-19,-331,2037,6605
2018-08-07 00:00:00,BUTTER (CASH SETTLED) ,1238,1213,-120,-121,25,2451,6207
2018-08-14 00:00:00,BUTTER (CASH SETTLED) ,1250,1020,12,-193,230,2270,6497
2018-08-21 00:00:00,BUTTER (CASH SETTLED) ,1141,1283,-109,263,-142,2424,6836
2018-08-28 00:00:00,BUTTER (CASH SETTLED) ,1150,1158,9,-125,-8,2308,6880
2018-07-03 00:00:00,BUTTER (CASH SETTLED) ,1170,1278,73,-50,-108,2448,8035
2018-07-10 00:00:00,BUTTER (CASH SETTLED) ,1149,1171,-21,-107,-22,2320,6943
2018-07-17 00:00:00,BUTTER (CASH SETTLED) ,1167,1232,18,61,-65,2399,7195
2018-06-12 00:00:00,BUTTER (CASH SETTLED) ,759,897,-9,10,-138,1656,6162
2018-06-19 00:00:00,BUTTER (CASH SETTLED) ,1012,1082,253,185,-70,2094,7066
2018-06-26 00:00:00,BUTTER (CASH SETTLED) ,1097,1328,85,246,-231,2425,7571
2018-05-22 00:00:00,BUTTER (CASH SETTLED) ,679,1158,-21,-4,-479,1837,6960
2018-03-06 00:00:00,BUTTER (CASH SETTLED) ,480,1230,-49,-315,-750,1710,7121
2018-03-13 00:00:00,BUTTER (CASH SETTLED) ,507,1391,27,161,-884,1898,7282
2018-03-20 00:00:00,BUTTER (CASH SETTLED) ,549,1447,42,56,-898,1996,7552
2018-03-27 00:00:00,BUTTER (CASH SETTLED) ,567,1438,18,-9,-871,2005,7668
2018-02-06 00:00:00,BUTTER (CASH SETTLED) ,539,1705,-14,-233,-1166,2244,7214
2018-02-13 00:00:00,BUTTER (CASH SETTLED) ,518,1548,-21,-157,-1030,2066,7830
2018-02-20 00:00:00,BUTTER (CASH SETTLED) ,529,1472,11,-76,-943,2001,7931
2018-02-27 00:00:00,BUTTER (CASH SETTLED) ,529,1545,0,73,-1016,2074,8107
2018-01-02 00:00:00,BUTTER (CASH SETTLED) ,474,1367,43,8,-893,1841,5720
2018-01-09 00:00:00,BUTTER (CASH SETTLED) ,519,1429,45,62,-910,1948,5462
2018-01-16 00:00:00,BUTTER (CASH SETTLED) ,519,1543,0,114,-1024,2062,6342
2018-01-23 00:00:00,BUTTER (CASH SETTLED) ,585,1823,66,280,-1238,2408,6858
2018-01-30 00:00:00,BUTTER (CASH SETTLED) ,553,1938,-32,115,-1385,2491,7208
2017-12-05 00:00:00,BUTTER (CASH SETTLED) ,305,961,37,68,-656,1266,4686
2017-12-12 00:00:00,BUTTER (CASH SETTLED) ,354,972,49,11,-618,1326,4847
2017-12-19 00:00:00,BUTTER (CASH SETTLED) ,353,1149,-1,177,-796,1502,5131
2017-12-26 00:00:00,BUTTER (CASH SETTLED) ,431,1359,78,210,-928,1790,5543
2017-11-07 00:00:00,BUTTER (CASH SETTLED) ,75,675,-44,88,-600,750,5292
2017-11-14 00:00:00,BUTTER (CASH SETTLED) ,73,770,-2,95,-697,843,5616
2017-11-21 00:00:00,BUTTER (CASH SETTLED) ,230,819,157,49,-589,1049,5710
2017-11-28 00:00:00,BUTTER (CASH SETTLED) ,268,893,38,74,-625,1161,5842
2017-10-03 00:00:00,BUTTER (CASH SETTLED) ,219,584,41,2,-365,803,6211
2017-10-10 00:00:00,BUTTER (CASH SETTLED) ,112,633,-107,49,-521,745,5200
2017-10-17 00:00:00,BUTTER (CASH SETTLED) ,120,653,8,20,-533,773,5240
2017-10-24 00:00:00,BUTTER (CASH SETTLED) ,80,623,-40,-30,-543,703,5497
2017-10-31 00:00:00,BUTTER (CASH SETTLED) ,119,587,39,-36,-468,706,5840
2017-09-05 00:00:00,BUTTER (CASH SETTLED) ,237,568,-7,-58,-331,805,5354
2017-09-12 00:00:00,BUTTER (CASH SETTLED) ,200,557,-37,-11,-357,757,5615
2017-09-19 00:00:00,BUTTER (CASH SETTLED) ,217,575,17,18,-358,792,5790
2017-09-26 00:00:00,BUTTER (CASH SETTLED) ,178,582,-39,7,-404,760,5997
2017-08-01 00:00:00,BUTTER (CASH SETTLED) ,400,863,68,-14,-463,1263,5945
2017-08-08 00:00:00,BUTTER (CASH SETTLED) ,411,735,11,-128,-324,1146,5064
2017-08-15 00:00:00,BUTTER (CASH SETTLED) ,430,690,19,-45,-260,1120,5373
2017-08-22 00:00:00,BUTTER (CASH SETTLED) ,328,624,-102,-66,-296,952,5846
2017-08-29 00:00:00,BUTTER (CASH SETTLED) ,244,626,-84,2,-382,870,6046
2017-07-03 00:00:00,BUTTER (CASH SETTLED) ,465,678,15,-141,-213,1143,5244
2017-07-11 00:00:00,BUTTER (CASH SETTLED) ,409,769,-56,91,-360,1178,5343
2017-07-18 00:00:00,BUTTER (CASH SETTLED) ,391,817,-18,48,-426,1208,5727
2017-07-25 00:00:00,BUTTER (CASH SETTLED) ,332,877,-59,60,-545,1209,5895
2017-06-06 00:00:00,BUTTER (CASH SETTLED) ,489,818,148,-204,-329,1307,5602
2017-06-13 00:00:00,BUTTER (CASH SETTLED) ,469,793,-20,-25,-324,1262,5806
2017-06-20 00:00:00,BUTTER (CASH SETTLED) ,482,931,13,138,-449,1413,5986
2017-06-27 00:00:00,BUTTER (CASH SETTLED) ,450,819,-32,-112,-369,1269,6005
2017-05-02 00:00:00,BUTTER (CASH SETTLED) ,278,1029,4,-54,-751,1307,6468
2017-05-09 00:00:00,BUTTER (CASH SETTLED) ,196,869,-82,-160,-673,1065,5669
2017-05-16 00:00:00,BUTTER (CASH SETTLED) ,289,850,93,-19,-561,1139,5913
2017-05-23 00:00:00,BUTTER (CASH SETTLED) ,274,974,-15,124,-700,1248,6088
2017-05-30 00:00:00,BUTTER (CASH SETTLED) ,341,1022,67,48,-681,1363,6208
2017-04-04 00:00:00,BUTTER (CASH SETTLED) ,325,1124,10,-65,-799,1449,6501
2017-04-11 00:00:00,BUTTER (CASH SETTLED) ,281,1156,-44,32,-875,1437,5963
2017-04-18 00:00:00,BUTTER (CASH SETTLED) ,257,1145,-24,-11,-888,1402,6222
2017-04-25 00:00:00,BUTTER (CASH SETTLED) ,274,1083,17,-62,-809,1357,6353
2017-03-07 00:00:00,BUTTER (CASH SETTLED) ,1341,1256,-159,-158,85,2597,5107
2017-03-14 00:00:00,BUTTER (CASH SETTLED) ,1497,1156,156,-100,341,2653,5420
2017-03-21 00:00:00,BUTTER (CASH SETTLED) ,1674,1181,177,25,493,2855,5934
2017-03-28 00:00:00,BUTTER (CASH SETTLED) ,315,1189,-1359,8,-874,1504,6173
2017-02-14 00:00:00,BUTTER (CASH SETTLED) ,1384,1710,67,-60,-326,3094,5114
2017-02-21 00:00:00,BUTTER (CASH SETTLED) ,1417,1528,33,-182,-111,2945,5308
2017-02-28 00:00:00,BUTTER (CASH SETTLED) ,1500,1414,83,-114,86,2914,5565
2021-07-13," 
BUTTER (CASH SETTLED) ",0,1087,0,-1,-1087,1087,7992
2021-07-06," 
BUTTER (CASH SETTLED) ",0,1088,0,-172,-1088,1088,7736
2021-06-01," 
BUTTER (CASH SETTLED) ",27,1325,-1,120,-1298,1352,8967
2021-06-08," 
BUTTER (CASH SETTLED) ",32,1071,5,-254,-1039,1103,7981
2021-06-15," 
BUTTER (CASH SETTLED) ",10,1074,-22,3,-1064,1084,8324
2021-06-22," 
BUTTER (CASH SETTLED) ",0,1272,-10,198,-1272,1272,8761
2021-06-29," 
BUTTER (CASH SETTLED) ",0,1260,0,-12,-1260,1260,8802
2021-05-04," 
BUTTER (CASH SETTLED) ",13,1392,-2,69,-1379,1405,9173
2021-05-11," 
BUTTER (CASH SETTLED) ",57,1254,44,-138,-1197,1311,8433
