Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,SWISS FRANC ,18074,10937,-1156,1869,7137,29011,45704
2021-07-06 00:00:00,SWISS FRANC ,19230,9068,289,1192,10162,28298,44739
2021-06-01 00:00:00,SWISS FRANC ,13940,13616,1717,190,324,27556,46004
2021-06-08 00:00:00,SWISS FRANC ,12649,11573,-1291,-2043,1076,24222,49202
2021-06-15 00:00:00,SWISS FRANC ,14875,5488,2226,-6085,9387,20363,37057
2021-06-22 00:00:00,SWISS FRANC ,20980,7428,6105,1940,13552,28408,41889
2021-06-29 00:00:00,SWISS FRANC ,18941,7876,-2039,448,11065,26817,42684
2021-05-04 00:00:00,SWISS FRANC ,10276,10220,-840,-1582,56,20496,39526
2021-05-11 00:00:00,SWISS FRANC ,10381,13232,105,3012,-2851,23613,41585
2021-05-18 00:00:00,SWISS FRANC ,11115,15380,734,2148,-4265,26495,44162
2021-05-25 00:00:00,SWISS FRANC ,12223,13426,1108,-1954,-1203,25649,43521
2021-04-06 00:00:00,SWISS FRANC ,15690,12445,-396,628,3245,28135,43677
2021-04-13 00:00:00,SWISS FRANC ,12965,12141,-2725,-304,824,25106,42423
2021-04-20 00:00:00,SWISS FRANC ,11264,12906,-1701,765,-1642,24170,41266
2021-04-27 00:00:00,SWISS FRANC ,11116,11802,-148,-1104,-686,22918,40783
2021-03-02 00:00:00,SWISS FRANC ,21863,9602,302,-436,12261,31465,52707
2021-03-09 00:00:00,SWISS FRANC ,23614,9221,1751,-381,14393,32835,57348
2021-03-16 00:00:00,SWISS FRANC ,13297,8626,-10317,-595,4671,21923,37985
2021-03-23 00:00:00,SWISS FRANC ,12458,9586,-839,960,2872,22044,38302
2021-03-30 00:00:00,SWISS FRANC ,16086,11817,3628,2231,4269,27903,42770
2021-02-02 00:00:00,SWISS FRANC ,22159,7518,4521,-28,14641,29677,50832
2021-02-09 00:00:00,SWISS FRANC ,18778,7370,-3381,-148,11408,26148,48656
2021-02-16 00:00:00,SWISS FRANC ,15745,7374,-3033,4,8371,23119,48093
2021-02-23 00:00:00,SWISS FRANC ,21561,10038,5816,2664,11523,31599,53002
2021-01-05 00:00:00,SWISS FRANC ,17386,8014,-4110,-1695,9372,25400,49028
2021-01-12 00:00:00,SWISS FRANC ,20421,8446,3035,432,11975,28867,50164
2021-01-19 00:00:00,SWISS FRANC ,17706,8286,-2715,-160,9420,25992,48530
2021-01-26 00:00:00,SWISS FRANC ,17638,7546,-68,-740,10092,25184,48337
2020-12-01 00:00:00,SWISS FRANC ,19860,5209,-257,78,14651,25069,51683
2020-12-08 00:00:00,SWISS FRANC ,16693,6270,-3167,1061,10423,22963,54922
2020-12-15 00:00:00,SWISS FRANC ,17177,7886,484,1616,9291,25063,48913
2020-12-21 00:00:00,SWISS FRANC ,23286,12042,6109,4156,11244,35328,53305
2020-12-29 00:00:00,SWISS FRANC ,21496,9709,-1790,-2333,11787,31205,52404
2020-11-03 00:00:00,SWISS FRANC ,20775,5880,-1414,-806,14895,26655,51092
2020-11-10 00:00:00,SWISS FRANC ,21403,5539,628,-341,15864,26942,52528
2020-11-17 00:00:00,SWISS FRANC ,19929,5005,-1474,-534,14924,24934,50775
2020-11-24 00:00:00,SWISS FRANC ,20117,5131,188,126,14986,25248,50388
2020-10-06 00:00:00,SWISS FRANC ,16941,3845,-2225,-2580,13096,20786,45038
2020-10-13 00:00:00,SWISS FRANC ,16896,4724,-45,879,12172,21620,47725
2020-10-20 00:00:00,SWISS FRANC ,21682,7283,4786,2559,14399,28965,52755
2020-10-27 00:00:00,SWISS FRANC ,22189,6686,507,-597,15503,28875,52735
2020-09-01 00:00:00,SWISS FRANC ,19263,7666,919,1188,11597,26929,54037
2020-09-08 00:00:00,SWISS FRANC ,18440,6913,-823,-753,11527,25353,52562
2020-09-15 00:00:00,SWISS FRANC ,18649,6583,209,-330,12066,25232,52411
2020-09-22 00:00:00,SWISS FRANC ,21684,5768,3035,-815,15916,27452,51875
2020-09-29 00:00:00,SWISS FRANC ,19166,6425,-2518,657,12741,25591,47666
2020-08-04 00:00:00,SWISS FRANC ,21760,10100,4106,888,11660,31860,56772
2020-08-11 00:00:00,SWISS FRANC ,23084,5919,1324,-4181,17165,29003,56592
2020-08-18 00:00:00,SWISS FRANC ,20774,6267,-2310,348,14507,27041,56114
2020-08-25 00:00:00,SWISS FRANC ,18344,6478,-2430,211,11866,24822,53085
2020-07-07 00:00:00,SWISS FRANC ,12832,9054,36,596,3778,21886,45115
2020-07-14 00:00:00,SWISS FRANC ,16526,9469,3694,415,7057,25995,48430
2020-07-21 00:00:00,SWISS FRANC ,17761,10382,1235,913,7379,28143,51006
2020-07-28 00:00:00,SWISS FRANC ,17654,9212,-107,-1170,8442,26866,51799
2020-06-02 00:00:00,SWISS FRANC ,13364,4375,118,-132,8989,17739,40352
2020-06-09 00:00:00,SWISS FRANC ,10463,8697,-2901,4322,1766,19160,41580
2020-06-16 00:00:00,SWISS FRANC ,9150,7544,-1313,-1153,1606,16694,35733
2020-06-23 00:00:00,SWISS FRANC ,11739,10291,2589,2747,1448,22030,42299
2020-06-30 00:00:00,SWISS FRANC ,12796,8458,1057,-1833,4338,21254,41400
2020-05-05 00:00:00,SWISS FRANC ,12967,5176,493,-1722,7791,18143,36257
2020-05-12 00:00:00,SWISS FRANC ,12624,5976,-343,800,6648,18600,40469
2020-05-19 00:00:00,SWISS FRANC ,13678,4950,1054,-1026,8728,18628,38746
2020-05-26 00:00:00,SWISS FRANC ,13246,4507,-432,-443,8739,17753,39072
2020-04-07 00:00:00,SWISS FRANC ,11186,5582,797,140,5604,16768,30391
2020-04-14 00:00:00,SWISS FRANC ,11608,6951,422,1369,4657,18559,32718
2020-04-21 00:00:00,SWISS FRANC ,12731,7807,1123,856,4924,20538,35026
2020-04-28 00:00:00,SWISS FRANC ,12474,6898,-257,-909,5576,19372,36326
2020-03-03 00:00:00,SWISS FRANC ,14727,17969,-5187,-1329,-3242,32696,54436
2020-03-10 00:00:00,SWISS FRANC ,13460,12865,-1267,-5104,595,26325,50474
2020-03-17 00:00:00,SWISS FRANC ,13963,6589,503,-6276,7374,20552,35254
2020-03-24 00:00:00,SWISS FRANC ,10294,5403,-3669,-1186,4891,15697,30767
2020-03-31 00:00:00,SWISS FRANC ,10389,5442,95,39,4947,15831,29657
2020-02-04 00:00:00,SWISS FRANC ,14261,9342,1292,-130,4919,23603,49855
2020-02-11 00:00:00,SWISS FRANC ,15937,12170,1676,2828,3767,28107,51465
2020-02-18 00:00:00,SWISS FRANC ,17057,15516,1120,3346,1541,32573,52520
2020-02-25 00:00:00,SWISS FRANC ,19914,19298,2857,3782,616,39212,57192
2020-01-07 00:00:00,SWISS FRANC ,11298,15767,-3251,-4507,-4469,27065,49365
2020-01-14 00:00:00,SWISS FRANC ,12417,12609,1119,-3158,-192,25026,49118
2020-01-21 00:00:00,SWISS FRANC ,12375,10839,-42,-1770,1536,23214,50368
2020-01-28 00:00:00,SWISS FRANC ,12969,9472,594,-1367,3497,22441,51440
2019-12-03 00:00:00,SWISS FRANC ,15119,37406,352,1664,-22287,52525,79183
2019-12-10 00:00:00,SWISS FRANC ,10182,31047,-4937,-6359,-20865,41229,75650
2019-12-17 00:00:00,SWISS FRANC ,13762,24836,3580,-6211,-11074,38598,61630
2019-12-31 00:00:00,SWISS FRANC ,14549,20274,33,-3921,-5725,34823,55514
2019-11-05 00:00:00,SWISS FRANC ,14048,28201,-286,1383,-14153,42249,67855
2019-11-12 00:00:00,SWISS FRANC ,12824,27944,-1224,-257,-15120,40768,68066
2019-11-19 00:00:00,SWISS FRANC ,11573,27765,-1251,-179,-16192,39338,68223
2019-11-26 00:00:00,SWISS FRANC ,14767,35742,3194,7977,-20975,50509,77318
2019-10-01 00:00:00,SWISS FRANC ,18245,29780,3966,4949,-11535,48025,65484
2019-10-08 00:00:00,SWISS FRANC ,15252,26299,-2993,-3481,-11047,41551,64837
2019-10-15 00:00:00,SWISS FRANC ,13534,26300,-1718,1,-12766,39834,64763
2019-10-22 00:00:00,SWISS FRANC ,13051,24386,-483,-1914,-11335,37437,61619
2019-10-29 00:00:00,SWISS FRANC ,14334,26818,1283,2432,-12484,41152,65712
2019-09-03 00:00:00,SWISS FRANC ,16362,22201,2127,4166,-5839,38563,60867
2019-09-10 00:00:00,SWISS FRANC ,16087,18979,-275,-3222,-2892,35066,64165
2019-09-17 00:00:00,SWISS FRANC ,15125,19681,-962,702,-4556,34806,52487
2019-09-24 00:00:00,SWISS FRANC ,14279,24831,-846,5150,-10552,39110,56934
2019-08-06 00:00:00,SWISS FRANC ,8395,24826,-2426,-483,-16431,33221,56716
2019-08-13 00:00:00,SWISS FRANC ,7760,20712,-635,-4114,-12952,28472,54267
2019-08-20 00:00:00,SWISS FRANC ,7925,19042,165,-1670,-11117,26967,54941
2019-08-27 00:00:00,SWISS FRANC ,14235,18035,6310,-1007,-3800,32270,55251
2019-07-02 00:00:00,SWISS FRANC ,5672,16414,-1358,-7097,-10742,22086,50766
2019-07-09 00:00:00,SWISS FRANC ,7149,17577,1477,1163,-10428,24726,51844
2019-07-16 00:00:00,SWISS FRANC ,5962,17694,-1187,117,-11732,23656,52203
2019-07-23 00:00:00,SWISS FRANC ,6886,20079,924,2385,-13193,26965,53369
2019-07-30 00:00:00,SWISS FRANC ,10821,25309,3935,5230,-14488,36130,57805
2019-06-04 00:00:00,SWISS FRANC ,4541,40606,-103,1287,-36065,45147,82843
2019-06-11 00:00:00,SWISS FRANC ,4466,29254,-75,-11352,-24788,33720,72177
2019-06-18 00:00:00,SWISS FRANC ,6317,21801,1851,-7453,-15484,28118,58961
2019-06-25 00:00:00,SWISS FRANC ,7030,23511,713,1710,-16481,30541,55740
2019-05-07 00:00:00,SWISS FRANC ,12383,51962,-1856,-2023,-39579,64345,101595
2019-05-14 00:00:00,SWISS FRANC ,7646,47656,-4737,-4306,-40010,55302,93782
2019-05-21 00:00:00,SWISS FRANC ,5270,42765,-2376,-4891,-37495,48035,88283
2019-05-28 00:00:00,SWISS FRANC ,4644,39319,-626,-3446,-34675,43963,85660
2019-04-02 00:00:00,SWISS FRANC ,7280,33546,1521,492,-26266,40826,73617
2019-04-09 00:00:00,SWISS FRANC ,7285,35431,5,1885,-28146,42716,74157
2019-04-16 00:00:00,SWISS FRANC ,6571,39155,-714,3724,-32584,45726,81940
2019-04-23 00:00:00,SWISS FRANC ,9639,47175,3068,8020,-37536,56814,94115
2019-04-30 00:00:00,SWISS FRANC ,14239,53985,4600,6810,-39746,68224,102722
2019-03-05 00:00:00,SWISS FRANC ,11993,36097,3216,1971,-24104,48090,79621
2019-03-12 00:00:00,SWISS FRANC ,12174,35479,181,-618,-23305,47653,85572
2019-03-19 00:00:00,SWISS FRANC ,7626,34815,-4548,-664,-27189,42441,75896
