Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,BITCOIN ,4476,5643,458,354,-1167,10119,7129
2021-07-06 00:00:00,BITCOIN ,4018,5289,220,146,-1271,9307,6889
2021-06-01 00:00:00,BITCOIN ,4369,5811,-655,-885,-1442,10180,7318
2021-06-08 00:00:00,BITCOIN ,4804,5985,435,174,-1181,10789,7566
2021-06-15 00:00:00,BITCOIN ,4320,5929,-484,-56,-1609,10249,7528
2021-06-22 00:00:00,BITCOIN ,4502,6030,182,101,-1528,10532,7914
2021-06-29 00:00:00,BITCOIN ,3798,5143,-704,-887,-1345,8941,6788
2021-05-04 00:00:00,BITCOIN ,4964,6728,533,388,-1764,11692,8306
2021-05-11 00:00:00,BITCOIN ,4663,6601,-301,-127,-1938,11264,8259
2021-05-18 00:00:00,BITCOIN ,6275,7234,1612,633,-959,13509,9160
2021-05-25 00:00:00,BITCOIN ,5024,6696,-1251,-538,-1672,11720,8893
2021-04-06 00:00:00,BITCOIN ,5938,8230,262,339,-2292,14168,9865
2021-04-13 00:00:00,BITCOIN ,5788,8253,-150,23,-2465,14041,9653
2021-04-20 00:00:00,BITCOIN ,5147,7419,-641,-834,-2272,12566,8817
2021-04-27 00:00:00,BITCOIN ,4431,6340,-716,-1079,-1909,10771,8429
2021-03-02 00:00:00,BITCOIN ,4467,6318,-2092,-2326,-1851,10785,8068
2021-03-09 00:00:00,BITCOIN ,4944,6857,477,539,-1913,11801,8785
2021-03-16 00:00:00,BITCOIN ,4797,7449,-147,592,-2652,12246,9335
2021-03-23 00:00:00,BITCOIN ,5541,7946,744,497,-2405,13487,9897
2021-03-30 00:00:00,BITCOIN ,5676,7891,135,-55,-2215,13567,9322
2021-02-02 00:00:00,BITCOIN ,5342,8016,-972,-1079,-2674,13358,9469
2021-02-09 00:00:00,BITCOIN ,6327,9171,985,1155,-2844,15498,11055
2021-02-16 00:00:00,BITCOIN ,6672,9565,345,394,-2893,16237,11426
2021-02-23 00:00:00,BITCOIN ,6559,8644,-113,-921,-2085,15203,10572
2021-01-05 00:00:00,BITCOIN ,6939,9924,491,643,-2985,16863,11296
2021-01-12 00:00:00,BITCOIN ,7306,10639,367,715,-3333,17945,12039
2021-01-19 00:00:00,BITCOIN ,7406,10535,100,-104,-3129,17941,11945
2021-01-26 00:00:00,BITCOIN ,6314,9095,-1092,-1440,-2781,15409,10787
2020-12-01 00:00:00,BITCOIN ,7387,10389,-898,-348,-3002,17776,11812
2020-12-08 00:00:00,BITCOIN ,6880,10102,-507,-287,-3222,16982,11750
2020-12-15 00:00:00,BITCOIN ,6400,9360,-480,-742,-2960,15760,11370
2020-12-21 00:00:00,BITCOIN ,7308,10998,908,1638,-3690,18306,12603
2020-12-29 00:00:00,BITCOIN ,6448,9281,-860,-1717,-2833,15729,10653
2020-11-03 00:00:00,BITCOIN ,7552,10628,-998,-1245,-3076,18180,11278
2020-11-10 00:00:00,BITCOIN ,8057,10353,505,-275,-2296,18410,11311
2020-11-17 00:00:00,BITCOIN ,7915,10426,-142,73,-2511,18341,11509
2020-11-24 00:00:00,BITCOIN ,8285,10737,370,311,-2452,19022,12336
2020-10-06 00:00:00,BITCOIN ,4460,6595,341,425,-2135,11055,7511
2020-10-13 00:00:00,BITCOIN ,5902,8307,1442,1712,-2405,14209,9353
2020-10-20 00:00:00,BITCOIN ,7330,9991,1428,1684,-2661,17321,10896
2020-10-27 00:00:00,BITCOIN ,8550,11873,1220,1882,-3323,20423,12665
2020-09-01 00:00:00,BITCOIN ,6780,9339,-137,265,-2559,16119,10617
2020-09-08 00:00:00,BITCOIN ,4643,6953,-2137,-2386,-2310,11596,8198
2020-09-15 00:00:00,BITCOIN ,5122,8002,479,1049,-2880,13124,9383
2020-09-22 00:00:00,BITCOIN ,4078,6554,-1044,-1448,-2476,10632,8426
2020-09-29 00:00:00,BITCOIN ,4119,6170,41,-384,-2051,10289,7324
2020-08-04 00:00:00,BITCOIN ,8717,11972,-92,-81,-3255,20689,12703
2020-08-11 00:00:00,BITCOIN ,8456,11537,-261,-435,-3081,19993,13090
2020-08-18 00:00:00,BITCOIN ,8632,12182,176,645,-3550,20814,14454
2020-08-25 00:00:00,BITCOIN ,6917,9074,-1715,-3108,-2157,15991,11615
2020-07-07 00:00:00,BITCOIN ,6020,7505,324,583,-1485,13525,8165
2020-07-14 00:00:00,BITCOIN ,6323,7633,303,128,-1310,13956,8322
2020-07-21 00:00:00,BITCOIN ,6824,8524,501,891,-1700,15348,9230
