Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,CANADIAN DOLLAR ,63107,36731,-6816,7986,26376,99838,198714
2021-07-06 00:00:00,CANADIAN DOLLAR ,69923,28745,1622,6245,41178,98668,202136
2021-06-01 00:00:00,CANADIAN DOLLAR ,89467,40695,5284,1323,48772,130162,228957
2021-06-08 00:00:00,CANADIAN DOLLAR ,80989,35708,-8478,-4987,45281,116697,220053
2021-06-15 00:00:00,CANADIAN DOLLAR ,73071,28817,-7918,-6891,44254,101888,252936
2021-06-22 00:00:00,CANADIAN DOLLAR ,69074,25849,-3997,-2968,43225,94923,202787
2021-06-29 00:00:00,CANADIAN DOLLAR ,68301,22500,-773,-3349,45801,90801,196928
2021-05-04 00:00:00,CANADIAN DOLLAR ,74280,48333,17605,7380,25947,122613,196817
2021-05-11 00:00:00,CANADIAN DOLLAR ,79329,40700,5049,-7633,38629,120029,201955
2021-05-18 00:00:00,CANADIAN DOLLAR ,82026,35914,2697,-4786,46112,117940,207963
2021-05-25 00:00:00,CANADIAN DOLLAR ,84183,39372,2157,3458,44811,123555,213176
2021-04-06 00:00:00,CANADIAN DOLLAR ,47506,44816,-956,2872,2690,92322,166118
2021-04-13 00:00:00,CANADIAN DOLLAR ,48056,45650,550,834,2406,93706,166186
2021-04-20 00:00:00,CANADIAN DOLLAR ,53824,40578,5768,-5072,13246,94402,173145
2021-04-27 00:00:00,CANADIAN DOLLAR ,56675,40953,2851,375,15722,97628,180771
2021-03-02 00:00:00,CANADIAN DOLLAR ,51391,36064,4492,-1703,15327,87455,168689
2021-03-09 00:00:00,CANADIAN DOLLAR ,50022,39041,-1369,2977,10981,89063,173078
2021-03-16 00:00:00,CANADIAN DOLLAR ,50907,40644,885,1603,10263,91551,186932
2021-03-23 00:00:00,CANADIAN DOLLAR ,46786,41683,-4121,1039,5103,88469,162170
2021-03-30 00:00:00,CANADIAN DOLLAR ,48462,41944,1676,261,6518,90406,164199
2021-02-02 00:00:00,CANADIAN DOLLAR ,46645,30549,-7035,-9361,16096,77194,158155
2021-02-09 00:00:00,CANADIAN DOLLAR ,44274,34746,-2371,4197,9528,79020,158454
2021-02-16 00:00:00,CANADIAN DOLLAR ,45021,36857,747,2111,8164,81878,159266
2021-02-23 00:00:00,CANADIAN DOLLAR ,46899,37767,1878,910,9132,84666,166868
2021-01-05 00:00:00,CANADIAN DOLLAR ,41560,27036,-618,226,14524,68596,156124
2021-01-12 00:00:00,CANADIAN DOLLAR ,43386,31313,1826,4277,12073,74699,156675
2021-01-19 00:00:00,CANADIAN DOLLAR ,43633,33307,247,1994,10326,76940,154231
2021-01-26 00:00:00,CANADIAN DOLLAR ,53680,39910,10047,6603,13770,93590,168896
2020-12-01 00:00:00,CANADIAN DOLLAR ,28702,49945,-2827,1570,-21243,78647,147803
2020-12-08 00:00:00,CANADIAN DOLLAR ,34713,55451,6011,5506,-20738,90164,163589
2020-12-15 00:00:00,CANADIAN DOLLAR ,39856,55572,5143,121,-15716,95428,196230
2020-12-21 00:00:00,CANADIAN DOLLAR ,43198,33113,3342,-22459,10085,76311,156597
2020-12-29 00:00:00,CANADIAN DOLLAR ,42178,26810,-1020,-6303,15368,68988,154464
2020-11-03 00:00:00,CANADIAN DOLLAR ,21549,42235,-3190,-573,-20686,63784,124892
2020-11-10 00:00:00,CANADIAN DOLLAR ,25962,47311,4413,5076,-21349,73273,136456
2020-11-17 00:00:00,CANADIAN DOLLAR ,26205,46564,243,-747,-20359,72769,136614
2020-11-24 00:00:00,CANADIAN DOLLAR ,31529,48375,5324,1811,-16846,79904,140823
2020-10-06 00:00:00,CANADIAN DOLLAR ,20808,38855,-811,-1712,-18047,59663,113818
2020-10-13 00:00:00,CANADIAN DOLLAR ,24638,38202,3830,-653,-13564,62840,121956
2020-10-20 00:00:00,CANADIAN DOLLAR ,24725,43800,87,5598,-19075,68525,123266
2020-10-27 00:00:00,CANADIAN DOLLAR ,24739,42808,14,-992,-18069,67547,122403
2020-09-01 00:00:00,CANADIAN DOLLAR ,26590,53596,5000,2688,-27006,80186,140520
2020-09-08 00:00:00,CANADIAN DOLLAR ,29626,46981,3036,-6615,-17355,76607,137618
2020-09-15 00:00:00,CANADIAN DOLLAR ,28909,45852,-717,-1129,-16943,74761,147273
2020-09-22 00:00:00,CANADIAN DOLLAR ,23588,42470,-5321,-3382,-18882,66058,117564
2020-09-29 00:00:00,CANADIAN DOLLAR ,21619,40567,-1969,-1903,-18948,62186,113862
2020-08-04 00:00:00,CANADIAN DOLLAR ,19907,43102,-12198,-1499,-23195,63009,137101
2020-08-11 00:00:00,CANADIAN DOLLAR ,17256,46803,-2651,3701,-29547,64059,136885
2020-08-18 00:00:00,CANADIAN DOLLAR ,19497,53084,2241,6281,-33587,72581,141600
2020-08-25 00:00:00,CANADIAN DOLLAR ,21590,50908,2093,-2176,-29318,72498,129557
2020-07-07 00:00:00,CANADIAN DOLLAR ,31660,48478,3486,-215,-16818,80138,121226
2020-07-14 00:00:00,CANADIAN DOLLAR ,27642,47417,-4018,-1061,-19775,75059,148003
2020-07-21 00:00:00,CANADIAN DOLLAR ,34284,50982,6642,3565,-16698,85266,143606
2020-07-28 00:00:00,CANADIAN DOLLAR ,32105,44601,-2179,-6381,-12496,76706,139397
2020-06-02 00:00:00,CANADIAN DOLLAR ,19774,52912,-2070,-2886,-33138,72686,128476
2020-06-09 00:00:00,CANADIAN DOLLAR ,22298,47127,2524,-5785,-24829,69425,120459
2020-06-16 00:00:00,CANADIAN DOLLAR ,19695,45181,-2603,-1946,-25486,64876,125654
2020-06-23 00:00:00,CANADIAN DOLLAR ,22852,43686,3157,-1495,-20834,66538,105412
2020-06-30 00:00:00,CANADIAN DOLLAR ,28174,48693,5322,5007,-20519,76867,118197
2020-05-05 00:00:00,CANADIAN DOLLAR ,17007,49059,975,3983,-32052,66066,119300
2020-05-12 00:00:00,CANADIAN DOLLAR ,16995,49241,-12,182,-32246,66236,120453
2020-05-19 00:00:00,CANADIAN DOLLAR ,23142,58198,6147,8957,-35056,81340,130099
2020-05-26 00:00:00,CANADIAN DOLLAR ,21844,55798,-1298,-2400,-33954,77642,129849
2020-04-07 00:00:00,CANADIAN DOLLAR ,17052,41485,-4465,-1961,-24433,58537,117523
2020-04-14 00:00:00,CANADIAN DOLLAR ,18038,41798,986,313,-23760,59836,119798
2020-04-21 00:00:00,CANADIAN DOLLAR ,19804,43695,1766,1897,-23891,63499,121213
2020-04-28 00:00:00,CANADIAN DOLLAR ,16032,45076,-3772,1381,-29044,61108,117660
2020-03-03 00:00:00,CANADIAN DOLLAR ,55191,44612,-8467,-4422,10579,99803,160511
2020-03-10 00:00:00,CANADIAN DOLLAR ,48055,50045,-7136,5433,-1990,98100,175226
2020-03-17 00:00:00,CANADIAN DOLLAR ,43114,52737,-4941,2692,-9623,95851,183137
2020-03-24 00:00:00,CANADIAN DOLLAR ,21323,50568,-21791,-2169,-29245,71891,124226
2020-03-31 00:00:00,CANADIAN DOLLAR ,21517,43446,194,-7122,-21929,64963,122891
2020-02-04 00:00:00,CANADIAN DOLLAR ,67193,48630,-9106,6921,18563,115823,174000
2020-02-11 00:00:00,CANADIAN DOLLAR ,68225,58520,1032,9890,9705,126745,166914
2020-02-18 00:00:00,CANADIAN DOLLAR ,61559,53742,-6666,-4778,7817,115301,164698
2020-02-25 00:00:00,CANADIAN DOLLAR ,63658,49034,2099,-4708,14624,112692,168819
2020-01-07 00:00:00,CANADIAN DOLLAR ,68756,42389,4795,-9659,26367,111145,189996
2020-01-14 00:00:00,CANADIAN DOLLAR ,70428,37576,1672,-4813,32852,108004,190229
2020-01-21 00:00:00,CANADIAN DOLLAR ,74399,36105,3971,-1471,38294,110504,188596
2020-01-28 00:00:00,CANADIAN DOLLAR ,76299,41709,1900,5604,34590,118008,185499
2019-12-03 00:00:00,CANADIAN DOLLAR ,64040,42569,3110,1983,21471,106609,184060
2019-12-10 00:00:00,CANADIAN DOLLAR ,55285,34544,-8755,-8025,20741,89829,169219
2019-12-17 00:00:00,CANADIAN DOLLAR ,47523,36332,-7762,1788,11191,83855,189458
2019-12-31 00:00:00,CANADIAN DOLLAR ,63961,52048,12483,9067,11913,116009,175666
2019-11-05 00:00:00,CANADIAN DOLLAR ,87774,33772,5792,-4621,54002,121546,192882
2019-11-12 00:00:00,CANADIAN DOLLAR ,73671,31298,-14103,-2474,42373,104969,182793
2019-11-19 00:00:00,CANADIAN DOLLAR ,65040,36175,-8631,4877,28865,101215,172759
2019-11-26 00:00:00,CANADIAN DOLLAR ,60930,40586,-4110,4411,20344,101516,167350
2019-10-01 00:00:00,CANADIAN DOLLAR ,46303,39976,5980,4245,6327,86279,130937
2019-10-08 00:00:00,CANADIAN DOLLAR ,49071,43758,2768,3782,5313,92829,136105
2019-10-15 00:00:00,CANADIAN DOLLAR ,58007,45046,8936,1288,12961,103053,149079
2019-10-22 00:00:00,CANADIAN DOLLAR ,71410,38017,13403,-7029,33393,109427,170305
2019-10-29 00:00:00,CANADIAN DOLLAR ,81982,38393,10572,376,43589,120375,189971
2019-09-03 00:00:00,CANADIAN DOLLAR ,48206,42857,-86,5470,5349,91063,167396
2019-09-10 00:00:00,CANADIAN DOLLAR ,54971,43448,6765,591,11523,98419,183058
2019-09-17 00:00:00,CANADIAN DOLLAR ,62004,42181,7033,-1267,19823,104185,187795
2019-09-24 00:00:00,CANADIAN DOLLAR ,40323,35731,-21681,-6450,4592,76054,123017
2019-08-06 00:00:00,CANADIAN DOLLAR ,63598,39432,-2707,-5151,24166,103030,172657
2019-08-13 00:00:00,CANADIAN DOLLAR ,50065,35865,-13533,-3567,14200,85930,160861
2019-08-20 00:00:00,CANADIAN DOLLAR ,47368,34331,-2697,-1534,13037,81699,155837
2019-08-27 00:00:00,CANADIAN DOLLAR ,48292,37387,924,3056,10905,85679,158921
2019-07-02 00:00:00,CANADIAN DOLLAR ,45057,38764,20307,-776,6293,83821,157998
2019-07-09 00:00:00,CANADIAN DOLLAR ,48734,39508,3677,744,9226,88242,164842
2019-07-16 00:00:00,CANADIAN DOLLAR ,63098,42134,14364,2626,20964,105232,182946
2019-07-23 00:00:00,CANADIAN DOLLAR ,69694,38944,6596,-3190,30750,108638,187397
2019-07-30 00:00:00,CANADIAN DOLLAR ,66305,44583,-3389,5639,21722,110888,182478
2019-06-04 00:00:00,CANADIAN DOLLAR ,15330,57089,-548,1788,-41759,72419,151970
2019-06-11 00:00:00,CANADIAN DOLLAR ,25597,58437,10267,1348,-32840,84034,159212
2019-06-18 00:00:00,CANADIAN DOLLAR ,19796,57867,-5801,-570,-38071,77663,160795
2019-06-25 00:00:00,CANADIAN DOLLAR ,24750,39540,4954,-18327,-14790,64290,137543
2019-05-07 00:00:00,CANADIAN DOLLAR ,20117,66232,672,42,-46115,86349,151258
2019-05-14 00:00:00,CANADIAN DOLLAR ,18457,66045,-1660,-187,-47588,84502,148058
2019-05-21 00:00:00,CANADIAN DOLLAR ,16282,58518,-2175,-7527,-42236,74800,140682
2019-05-28 00:00:00,CANADIAN DOLLAR ,15878,55301,-404,-3217,-39423,71179,140449
2019-04-02 00:00:00,CANADIAN DOLLAR ,24619,68942,3425,8177,-44323,93561,151140
2019-04-09 00:00:00,CANADIAN DOLLAR ,24681,67883,62,-1059,-43202,92564,149544
2019-04-16 00:00:00,CANADIAN DOLLAR ,18256,67418,-6425,-465,-49162,85674,145041
2019-04-23 00:00:00,CANADIAN DOLLAR ,23222,70715,4966,3297,-47493,93937,152998
2019-04-30 00:00:00,CANADIAN DOLLAR ,19445,66190,-3777,-4525,-46745,85635,154565
2019-03-05 00:00:00,CANADIAN DOLLAR ,18210,58654,-3343,-2076,-40444,76864,146552
2019-03-12 00:00:00,CANADIAN DOLLAR ,20276,61329,2066,2675,-41053,81605,159939
2019-03-19 00:00:00,CANADIAN DOLLAR ,16267,64041,-4009,2712,-47774,80308,167282
2019-03-26 00:00:00,CANADIAN DOLLAR ,21194,60765,4927,-3276,-39571,81959,144311
2019-02-05 00:00:00,CANADIAN DOLLAR ,19808,61845,3285,-11068,-42037,81653,141538
2019-02-12 00:00:00,CANADIAN DOLLAR ,21433,58970,1625,-2875,-37537,80403,141172
2019-02-19 00:00:00,CANADIAN DOLLAR ,22989,59426,1556,456,-36437,82415,142620
2019-02-26 00:00:00,CANADIAN DOLLAR ,21553,60730,-1436,1304,-39177,82283,147621
2019-01-08 00:00:00,CANADIAN DOLLAR ,19287,85289,-15043,310,-66002,104576,167005
2019-01-15 00:00:00,CANADIAN DOLLAR ,17006,76530,-2281,-8759,-59524,93536,155691
2019-01-22 00:00:00,CANADIAN DOLLAR ,16727,72823,-279,-3707,-56096,89550,151010
2019-01-29 00:00:00,CANADIAN DOLLAR ,16523,72913,-204,90,-56390,89436,151146
2018-12-04 00:00:00,CANADIAN DOLLAR ,38736,51672,-2691,1615,-12936,90408,156750
2018-12-11 00:00:00,CANADIAN DOLLAR ,41672,53341,2936,1669,-11669,95013,161530
2018-12-18 00:00:00,CANADIAN DOLLAR ,51566,59023,9894,5682,-7457,110589,191476
2018-12-24 00:00:00,CANADIAN DOLLAR ,27887,72579,-23679,13556,-44692,100466,159195
2018-12-31 00:00:00,CANADIAN DOLLAR ,34330,84979,6443,12400,-50649,119309,170168
2018-11-06 00:00:00,CANADIAN DOLLAR ,33753,36385,4317,-2706,-2632,70138,116284
2018-11-13 00:00:00,CANADIAN DOLLAR ,36773,39564,3020,3179,-2791,76337,121999
2018-11-20 00:00:00,CANADIAN DOLLAR ,39059,45348,2286,5784,-6289,84407,140651
2018-11-27 00:00:00,CANADIAN DOLLAR ,41427,50057,2368,4709,-8630,91484,145122
2018-10-02 00:00:00,CANADIAN DOLLAR ,41940,60424,10128,9080,-18484,102364,127333
2018-10-09 00:00:00,CANADIAN DOLLAR ,38867,51012,-3073,-9412,-12145,89879,121489
2018-10-16 00:00:00,CANADIAN DOLLAR ,32202,43221,-6665,-7791,-11019,75423,115386
