Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,CHEESE (CASH,3227,11429,-79,153,-8202,14656,24584
2021-07-06 00:00:00,CHEESE (CASH,3306,11276,165,-1852,-7970,14582,23951
2021-06-01 00:00:00,CHEESE (CASH,2261,12876,165,480,-10615,15137,26708
2021-06-08 00:00:00,CHEESE (CASH,2830,11814,569,-1062,-8984,14644,23688
2021-06-15 00:00:00,CHEESE (CASH,2870,12064,40,250,-9194,14934,24245
2021-06-22 00:00:00,CHEESE (CASH,3043,12753,173,689,-9710,15796,26170
2021-06-29 00:00:00,CHEESE (CASH,3141,13128,98,375,-9987,16269,26816
2021-05-04 00:00:00,CHEESE (CASH,2340,12296,144,39,-9956,14636,27523
2021-05-11 00:00:00,CHEESE (CASH,2368,11076,28,-1220,-8708,13444,24703
2021-05-18 00:00:00,CHEESE (CASH,2372,11289,4,213,-8917,13661,25232
2021-05-25 00:00:00,CHEESE (CASH,2096,12396,-276,1107,-10300,14492,26260
2021-04-06 00:00:00,CHEESE (CASH,1850,11400,-208,-1912,-9550,13250,23464
2021-04-13 00:00:00,CHEESE (CASH,2074,11683,224,283,-9609,13757,24289
2021-04-20 00:00:00,CHEESE (CASH,2086,12180,12,497,-10094,14266,25727
2021-04-27 00:00:00,CHEESE (CASH,2196,12257,110,77,-10061,14453,26594
2021-03-02 00:00:00,CHEESE (CASH,1892,12571,242,273,-10679,14463,25332
2021-03-09 00:00:00,CHEESE (CASH,1644,11001,-248,-1570,-9357,12645,22245
2021-03-16 00:00:00,CHEESE (CASH,1932,11604,288,603,-9672,13536,23433
2021-03-23 00:00:00,CHEESE (CASH,1994,12652,62,1048,-10658,14646,25002
2021-03-30 00:00:00,CHEESE (CASH,2058,13312,64,660,-11254,15370,27036
2021-02-02 00:00:00,CHEESE (CASH,1439,12705,20,1093,-11266,14144,26127
2021-02-09 00:00:00,CHEESE (CASH,1372,11658,-67,-1047,-10286,13030,23222
