Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,FEEDER CATTLE ,15331,9526,-569,551,5805,24857,45831
2021-07-06 00:00:00,FEEDER CATTLE ,15900,8975,243,8,6925,24875,46422
2021-06-01 00:00:00,FEEDER CATTLE ,16322,11589,-619,-994,4733,27911,41418
2021-06-08 00:00:00,FEEDER CATTLE ,15751,12362,-571,773,3389,28113,42225
2021-06-15 00:00:00,FEEDER CATTLE ,15540,10973,-211,-1389,4567,26513,42793
2021-06-22 00:00:00,FEEDER CATTLE ,15707,8996,167,-1977,6711,24703,43833
2021-06-29 00:00:00,FEEDER CATTLE ,15657,8967,-50,-29,6690,24624,43427
2021-05-04 00:00:00,FEEDER CATTLE ,17126,15578,-311,1094,1548,32704,46628
2021-05-11 00:00:00,FEEDER CATTLE ,17071,15277,-55,-301,1794,32348,44999
2021-05-18 00:00:00,FEEDER CATTLE ,17121,14336,50,-941,2785,31457,43766
2021-05-25 00:00:00,FEEDER CATTLE ,16941,12583,-180,-1753,4358,29524,42875
2021-04-06 00:00:00,FEEDER CATTLE ,19934,12381,-307,-1010,7553,32315,46349
2021-04-13 00:00:00,FEEDER CATTLE ,19040,12187,-894,-194,6853,31227,45535
2021-04-20 00:00:00,FEEDER CATTLE ,18658,14446,-382,2259,4212,33104,45690
2021-04-27 00:00:00,FEEDER CATTLE ,17437,14484,-1221,38,2953,31921,46812
2021-03-02 00:00:00,FEEDER CATTLE ,18296,16556,368,496,1740,34852,42375
2021-03-09 00:00:00,FEEDER CATTLE ,18614,16451,318,-105,2163,35065,44782
2021-03-16 00:00:00,FEEDER CATTLE ,19887,15501,1273,-950,4386,35388,47805
2021-03-23 00:00:00,FEEDER CATTLE ,18995,15342,-892,-159,3653,34337,48069
2021-03-30 00:00:00,FEEDER CATTLE ,20241,13391,1246,-1951,6850,33632,47407
2021-02-02 00:00:00,FEEDER CATTLE ,15631,14299,-342,1376,1332,29930,39968
2021-02-09 00:00:00,FEEDER CATTLE ,16348,14426,717,127,1922,30774,40797
2021-02-16 00:00:00,FEEDER CATTLE ,17073,14893,725,467,2180,31966,42467
2021-02-23 00:00:00,FEEDER CATTLE ,17928,16060,855,1167,1868,33988,42000
2021-01-05 00:00:00,FEEDER CATTLE ,13781,12883,-1033,1215,898,26664,42455
2021-01-12 00:00:00,FEEDER CATTLE ,14142,14049,361,1166,93,28191,41919
2021-01-19 00:00:00,FEEDER CATTLE ,14224,13850,82,-199,374,28074,40590
2021-01-26 00:00:00,FEEDER CATTLE ,15973,12923,1749,-927,3050,28896,40324
2020-12-01 00:00:00,FEEDER CATTLE ,13870,12602,168,-1428,1268,26472,38655
2020-12-08 00:00:00,FEEDER CATTLE ,14002,11796,132,-806,2206,25798,39829
2020-12-15 00:00:00,FEEDER CATTLE ,14633,11784,631,-12,2849,26417,42270
2020-12-21 00:00:00,FEEDER CATTLE ,15379,12116,746,332,3263,27495,45219
2020-12-29 00:00:00,FEEDER CATTLE ,14814,11668,-565,-448,3146,26482,44479
2020-11-03 00:00:00,FEEDER CATTLE ,13333,19025,199,-1174,-5692,32358,41054
2020-11-10 00:00:00,FEEDER CATTLE ,13937,15453,604,-3572,-1516,29390,35880
2020-11-17 00:00:00,FEEDER CATTLE ,13974,14669,37,-784,-695,28643,36456
2020-11-24 00:00:00,FEEDER CATTLE ,13702,14030,-272,-639,-328,27732,37157
2020-10-06 00:00:00,FEEDER CATTLE ,15028,15756,-425,2689,-728,30784,43761
2020-10-13 00:00:00,FEEDER CATTLE ,14671,16682,-357,926,-2011,31353,42118
2020-10-20 00:00:00,FEEDER CATTLE ,12921,20570,-1750,3888,-7649,33491,44113
2020-10-27 00:00:00,FEEDER CATTLE ,13134,20199,213,-371,-7065,33333,45210
2020-09-01 00:00:00,FEEDER CATTLE ,18072,11396,68,475,6676,29468,43417
2020-09-08 00:00:00,FEEDER CATTLE ,16799,12115,-1273,719,4684,28914,42042
2020-09-15 00:00:00,FEEDER CATTLE ,15740,12597,-1059,482,3143,28337,42410
2020-09-22 00:00:00,FEEDER CATTLE ,16029,13889,289,1292,2140,29918,44141
2020-09-29 00:00:00,FEEDER CATTLE ,15453,13067,-576,-822,2386,28520,42864
2020-08-04 00:00:00,FEEDER CATTLE ,16280,9039,1646,-37,7241,25319,41970
2020-08-11 00:00:00,FEEDER CATTLE ,16481,9402,201,363,7079,25883,43659
2020-08-18 00:00:00,FEEDER CATTLE ,17626,9627,1145,225,7999,27253,46293
2020-08-25 00:00:00,FEEDER CATTLE ,18004,10921,378,1294,7083,28925,45425
2020-07-07 00:00:00,FEEDER CATTLE ,12118,9939,123,570,2179,22057,37359
2020-07-14 00:00:00,FEEDER CATTLE ,12285,9777,167,-162,2508,22062,40985
2020-07-21 00:00:00,FEEDER CATTLE ,13493,8556,1208,-1221,4937,22049,40875
2020-07-28 00:00:00,FEEDER CATTLE ,14634,9076,1141,520,5558,23710,42900
2020-06-02 00:00:00,FEEDER CATTLE ,9911,8405,1938,771,1506,18316,30397
2020-06-09 00:00:00,FEEDER CATTLE ,9800,8968,-111,563,832,18768,32051
2020-06-16 00:00:00,FEEDER CATTLE ,10061,9861,261,893,200,19922,32997
2020-06-23 00:00:00,FEEDER CATTLE ,11038,9812,977,-49,1226,20850,35248
2020-06-30 00:00:00,FEEDER CATTLE ,11995,9369,957,-443,2626,21364,36744
2020-05-05 00:00:00,FEEDER CATTLE ,8791,8561,-1269,-825,230,17352,31756
2020-05-12 00:00:00,FEEDER CATTLE ,8437,7225,-354,-1336,1212,15662,30072
2020-05-19 00:00:00,FEEDER CATTLE ,8236,7347,-201,122,889,15583,29169
2020-05-26 00:00:00,FEEDER CATTLE ,7973,7634,-263,287,339,15607,28961
2020-04-07 00:00:00,FEEDER CATTLE ,10266,9368,-430,885,898,19634,34230
2020-04-14 00:00:00,FEEDER CATTLE ,10172,8847,-94,-521,1325,19019,31528
2020-04-21 00:00:00,FEEDER CATTLE ,10150,9237,-22,390,913,19387,32113
2020-04-28 00:00:00,FEEDER CATTLE ,10060,9386,-90,149,674,19446,33003
2020-03-03 00:00:00,FEEDER CATTLE ,14741,15459,-2156,-716,-718,30200,50286
2020-03-10 00:00:00,FEEDER CATTLE ,14094,14888,-647,-571,-794,28982,47462
2020-03-17 00:00:00,FEEDER CATTLE ,10923,11850,-3171,-3038,-927,22773,40124
2020-03-24 00:00:00,FEEDER CATTLE ,10146,9646,-777,-2204,500,19792,36924
2020-03-31 00:00:00,FEEDER CATTLE ,10696,8483,550,-1163,2213,19179,32767
2020-02-04 00:00:00,FEEDER CATTLE ,15738,16960,-1758,2265,-1222,32698,56960
