Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,LEAN HOGS ,107080,37609,2709,3284,69471,144689,262084
2021-07-06 00:00:00,LEAN HOGS ,104371,34325,-4211,-2558,70046,138696,264471
2021-06-01 00:00:00,LEAN HOGS ,120882,40587,3723,3403,80295,161469,297232
2021-06-08 00:00:00,LEAN HOGS ,126762,45399,5880,4812,81363,172161,300816
2021-06-15 00:00:00,LEAN HOGS ,130607,46554,3845,1155,84053,177161,307046
2021-06-22 00:00:00,LEAN HOGS ,115935,38959,-14672,-7595,76976,154894,285781
2021-06-29 00:00:00,LEAN HOGS ,108582,36883,-7353,-2076,71699,145465,268756
2021-05-04 00:00:00,LEAN HOGS ,114305,36723,-159,321,77582,151028,293966
2021-05-11 00:00:00,LEAN HOGS ,110777,36196,-3528,-527,74581,146973,281294
2021-05-18 00:00:00,LEAN HOGS ,110589,33475,-188,-2721,77114,144064,285218
2021-05-25 00:00:00,LEAN HOGS ,117159,37184,6570,3709,79975,154343,295915
2021-04-06 00:00:00,LEAN HOGS ,121642,39435,331,1675,82207,161077,289848
2021-04-13 00:00:00,LEAN HOGS ,123446,38239,1804,-1196,85207,161685,295943
2021-04-20 00:00:00,LEAN HOGS ,115066,35289,-8380,-2950,79777,150355,284085
2021-04-27 00:00:00,LEAN HOGS ,114464,36402,-602,1113,78062,150866,284893
2021-03-02 00:00:00,LEAN HOGS ,107719,33154,2596,-1089,74565,140873,263683
2021-03-09 00:00:00,LEAN HOGS ,111301,32966,3582,-188,78335,144267,264322
2021-03-16 00:00:00,LEAN HOGS ,115538,34271,4237,1305,81267,149809,271314
2021-03-23 00:00:00,LEAN HOGS ,116856,36065,1318,1794,80791,152921,275026
2021-03-30 00:00:00,LEAN HOGS ,121311,37760,4455,1695,83551,159071,284143
2021-02-02 00:00:00,LEAN HOGS ,87497,40620,5844,-215,46877,128117,227431
2021-02-09 00:00:00,LEAN HOGS ,91257,39426,3760,-1194,51831,130683,239769
2021-02-16 00:00:00,LEAN HOGS ,101964,36808,10707,-2618,65156,138772,253274
2021-02-23 00:00:00,LEAN HOGS ,105123,34243,3159,-2565,70880,139366,257886
2021-01-05 00:00:00,LEAN HOGS ,76636,39137,5005,277,37499,115773,201729
2021-01-12 00:00:00,LEAN HOGS ,78419,41434,1783,2297,36985,119853,204541
2021-01-19 00:00:00,LEAN HOGS ,77794,42726,-625,1292,35068,120520,207242
2021-01-26 00:00:00,LEAN HOGS ,81653,40835,3859,-1891,40818,122488,219704
