Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,"MILK, Class III ",10751,6495,285,604,4256,17246,25778
2021-07-06 00:00:00,"MILK, Class III ",10466,5891,-2063,487,4575,16357,24961
2021-06-01 00:00:00,"MILK, Class III ",14708,4111,-17,458,10597,18819,27954
2021-06-08 00:00:00,"MILK, Class III ",12426,3426,-2282,-685,9000,15852,23889
2021-06-15 00:00:00,"MILK, Class III ",12516,3614,90,188,8902,16130,24435
2021-06-22 00:00:00,"MILK, Class III ",12870,4736,354,1122,8134,17606,26122
2021-06-29 00:00:00,"MILK, Class III ",12529,5404,-341,668,7125,17933,27481
2021-05-04 00:00:00,"MILK, Class III ",14837,3213,595,135,11624,18050,27542
2021-05-11 00:00:00,"MILK, Class III ",13617,3060,-1220,-153,10557,16677,25020
2021-05-18 00:00:00,"MILK, Class III ",14229,3321,612,261,10908,17550,25850
2021-05-25 00:00:00,"MILK, Class III ",14725,3653,496,332,11072,18378,26985
2021-04-06 00:00:00,"MILK, Class III ",11994,2884,-672,-415,9110,14878,22587
2021-04-13 00:00:00,"MILK, Class III ",13257,3020,1263,136,10237,16277,25330
2021-04-20 00:00:00,"MILK, Class III ",13862,2957,605,-63,10905,16819,26134
2021-04-27 00:00:00,"MILK, Class III ",14242,3078,380,121,11164,17320,26930
2021-03-02 00:00:00,"MILK, Class III ",11472,3317,-123,-51,8155,14789,23681
2021-03-09 00:00:00,"MILK, Class III ",10887,2962,-585,-355,7925,13849,21766
2021-03-16 00:00:00,"MILK, Class III ",11683,3136,796,174,8547,14819,22882
2021-03-23 00:00:00,"MILK, Class III ",12595,3087,912,-49,9508,15682,24690
2021-03-30 00:00:00,"MILK, Class III ",12666,3299,71,212,9367,15965,25390
2021-02-02 00:00:00,"MILK, Class III ",12090,3170,-419,189,8920,15260,23351
2021-02-09 00:00:00,"MILK, Class III ",10743,3280,-1347,110,7463,14023,20829
2021-02-16 00:00:00,"MILK, Class III ",11154,3548,411,268,7606,14702,21683
2021-02-23 00:00:00,"MILK, Class III ",11595,3368,441,-180,8227,14963,22737
2021-01-05 00:00:00,"MILK, Class III ",9402,2269,-1663,-144,7133,11671,18400
2021-01-12 00:00:00,"MILK, Class III ",11050,2639,1648,370,8411,13689,20632
2021-01-19 00:00:00,"MILK, Class III ",11516,2861,466,222,8655,14377,21539
2021-01-26 00:00:00,"MILK, Class III ",12509,2981,993,120,9528,15490,22701
2020-12-01 00:00:00,"MILK, Class III ",11668,2646,-211,-225,9022,14314,24023
2020-12-08 00:00:00,"MILK, Class III ",8878,2270,-2790,-376,6608,11148,19652
2020-12-15 00:00:00,"MILK, Class III ",9502,2182,624,-88,7320,11684,20706
2020-12-21 00:00:00,"MILK, Class III ",10414,2538,912,356,7876,12952,22112
2020-12-29 00:00:00,"MILK, Class III ",11065,2413,651,-125,8652,13478,22296
2020-11-03 00:00:00,"MILK, Class III ",11980,3429,355,694,8551,15409,24739
2020-11-10 00:00:00,"MILK, Class III ",11096,3023,-884,-406,8073,14119,21535
2020-11-17 00:00:00,"MILK, Class III ",11953,3202,857,179,8751,15155,23141
2020-11-24 00:00:00,"MILK, Class III ",11879,2871,-74,-331,9008,14750,23634
2020-10-06 00:00:00,"MILK, Class III ",8454,2462,-2122,-946,5992,10916,19262
2020-10-13 00:00:00,"MILK, Class III ",9139,3035,685,573,6104,12174,20946
2020-10-20 00:00:00,"MILK, Class III ",10718,3257,1579,222,7461,13975,22474
2020-10-27 00:00:00,"MILK, Class III ",11625,2735,907,-522,8890,14360,24088
2020-09-01 00:00:00,"MILK, Class III ",13049,5487,629,114,7562,18536,25064
2020-09-08 00:00:00,"MILK, Class III ",9386,3524,-3663,-1963,5862,12910,19471
2020-09-15 00:00:00,"MILK, Class III ",9848,3739,462,215,6109,13587,20019
2020-09-22 00:00:00,"MILK, Class III ",10171,3502,323,-237,6669,13673,20918
2020-09-29 00:00:00,"MILK, Class III ",10576,3408,405,-94,7168,13984,21588
2020-08-04 00:00:00,"MILK, Class III ",15608,5895,326,896,9713,21503,28959
2020-08-11 00:00:00,"MILK, Class III ",10690,4681,-4918,-1214,6009,15371,22205
2020-08-18 00:00:00,"MILK, Class III ",11428,4547,738,-134,6881,15975,22911
2020-08-25 00:00:00,"MILK, Class III ",12420,5373,992,826,7047,17793,23990
2020-07-07 00:00:00,"MILK, Class III ",12997,4197,-1810,-772,8800,17194,23977
2020-07-14 00:00:00,"MILK, Class III ",13211,4497,214,300,8714,17708,25379
2020-07-21 00:00:00,"MILK, Class III ",14624,4650,1413,153,9974,19274,27077
2020-07-28 00:00:00,"MILK, Class III ",15282,4999,658,349,10283,20281,28078
2020-06-02 00:00:00,"MILK, Class III ",11374,5205,460,-405,6169,16579,25801
2020-06-09 00:00:00,"MILK, Class III ",11524,3893,150,-1312,7631,15417,23138
2020-06-16 00:00:00,"MILK, Class III ",12090,4003,566,110,8087,16093,24512
2020-06-23 00:00:00,"MILK, Class III ",13344,4263,1254,260,9081,17607,27001
2020-06-30 00:00:00,"MILK, Class III ",14807,4969,1463,706,9838,19776,28399
2020-05-05 00:00:00,"MILK, Class III ",10969,5618,-918,-773,5351,16587,23251
2020-05-12 00:00:00,"MILK, Class III ",10811,5707,-158,89,5104,16518,23545
2020-05-19 00:00:00,"MILK, Class III ",10792,5549,-19,-158,5243,16341,23952
2020-05-26 00:00:00,"MILK, Class III ",10914,5610,122,61,5304,16524,24439
2020-04-07 00:00:00,"MILK, Class III ",9773,5235,-211,94,4538,15008,20953
2020-04-14 00:00:00,"MILK, Class III ",10875,5237,1102,2,5638,16112,23202
2020-04-21 00:00:00,"MILK, Class III ",11562,5887,687,650,5675,17449,24952
