Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,NON FAT DRY MILK ,437,786,99,-11,-349,1223,6371
2021-07-06 00:00:00,NON FAT DRY MILK ,338,797,-231,-50,-459,1135,6114
2021-06-01 00:00:00,NON FAT DRY MILK ,637,636,-17,212,1,1273,6837
2021-06-08 00:00:00,NON FAT DRY MILK ,390,795,-247,159,-405,1185,6501
2021-06-15 00:00:00,NON FAT DRY MILK ,481,790,91,-5,-309,1271,6673
2021-06-22 00:00:00,NON FAT DRY MILK ,531,882,50,92,-351,1413,6788
2021-06-29 00:00:00,NON FAT DRY MILK ,569,847,38,-35,-278,1416,6901
2021-05-04 00:00:00,NON FAT DRY MILK ,819,771,129,125,48,1590,7546
2021-05-11 00:00:00,NON FAT DRY MILK ,684,297,-135,-474,387,981,6282
2021-05-18 00:00:00,NON FAT DRY MILK ,764,364,80,67,400,1128,6338
2021-05-25 00:00:00,NON FAT DRY MILK ,654,424,-110,60,230,1078,6422
2021-04-06 00:00:00,NON FAT DRY MILK ,538,812,-262,-395,-274,1350,6072
2021-04-13 00:00:00,NON FAT DRY MILK ,637,730,99,-82,-93,1367,6426
2021-04-20 00:00:00,NON FAT DRY MILK ,681,670,44,-60,11,1351,6908
2021-04-27 00:00:00,NON FAT DRY MILK ,690,646,9,-24,44,1336,7241
2021-03-02 00:00:00,NON FAT DRY MILK ,1050,1614,71,172,-564,2664,7604
2021-03-09 00:00:00,NON FAT DRY MILK ,800,1255,-250,-359,-455,2055,6823
2021-03-16 00:00:00,NON FAT DRY MILK ,868,1346,68,91,-478,2214,6998
2021-03-23 00:00:00,NON FAT DRY MILK ,921,1341,53,-5,-420,2262,7236
2021-03-30 00:00:00,NON FAT DRY MILK ,800,1207,-121,-134,-407,2007,7172
2021-02-02 00:00:00,NON FAT DRY MILK ,210,1267,26,49,-1057,1477,7178
2021-02-09 00:00:00,NON FAT DRY MILK ,957,1226,747,-41,-269,2183,6621
2021-02-16 00:00:00,NON FAT DRY MILK ,961,1265,4,39,-304,2226,6828
2021-02-23 00:00:00,NON FAT DRY MILK ,979,1442,18,177,-463,2421,7025
2021-01-05 00:00:00,NON FAT DRY MILK ,143,806,-305,-407,-663,949,5249
2021-01-12 00:00:00,NON FAT DRY MILK ,160,730,17,-76,-570,890,5456
2021-01-19 00:00:00,NON FAT DRY MILK ,184,1062,24,332,-878,1246,6003
2021-01-26 00:00:00,NON FAT DRY MILK ,184,1218,0,156,-1034,1402,6812
2020-12-01 00:00:00,NON FAT DRY MILK ,474,1708,-263,45,-1234,2182,7463
2020-12-08 00:00:00,NON FAT DRY MILK ,391,1095,-83,-613,-704,1486,6068
2020-12-15 00:00:00,NON FAT DRY MILK ,426,1094,35,-1,-668,1520,6391
2020-12-21 00:00:00,NON FAT DRY MILK ,400,1022,-26,-72,-622,1422,6661
2020-12-29 00:00:00,NON FAT DRY MILK ,448,1213,48,191,-765,1661,6876
2020-11-03 00:00:00,NON FAT DRY MILK ,930,1589,3,177,-659,2519,7569
2020-11-10 00:00:00,NON FAT DRY MILK ,648,1330,-282,-259,-682,1978,6440
2020-11-17 00:00:00,NON FAT DRY MILK ,719,1571,71,241,-852,2290,6685
2020-11-24 00:00:00,NON FAT DRY MILK ,737,1663,18,92,-926,2400,7051
2020-10-06 00:00:00,NON FAT DRY MILK ,993,1619,-164,-545,-626,2612,6428
2020-10-13 00:00:00,NON FAT DRY MILK ,1048,1661,55,42,-613,2709,6585
2020-10-20 00:00:00,NON FAT DRY MILK ,1024,1153,-24,-508,-129,2177,6813
2020-10-27 00:00:00,NON FAT DRY MILK ,927,1412,-97,259,-485,2339,7371
2020-09-01 00:00:00,NON FAT DRY MILK ,1258,2064,109,51,-806,3322,8427
2020-09-08 00:00:00,NON FAT DRY MILK ,1003,1721,-255,-343,-718,2724,7157
2020-09-15 00:00:00,NON FAT DRY MILK ,1152,1932,149,211,-780,3084,7373
2020-09-22 00:00:00,NON FAT DRY MILK ,1157,2096,5,164,-939,3253,7855
2020-09-29 00:00:00,NON FAT DRY MILK ,1157,2164,0,68,-1007,3321,8062
2020-08-04 00:00:00,NON FAT DRY MILK ,1389,1058,46,-21,331,2447,8889
2020-08-11 00:00:00,NON FAT DRY MILK ,1085,1017,-304,-41,68,2102,7638
2020-08-18 00:00:00,NON FAT DRY MILK ,1110,1893,25,876,-783,3003,7776
2020-08-25 00:00:00,NON FAT DRY MILK ,1149,2013,39,120,-864,3162,8020
2020-07-07 00:00:00,NON FAT DRY MILK ,1197,372,-215,-292,825,1569,7923
2020-07-14 00:00:00,NON FAT DRY MILK ,1337,516,140,144,821,1853,8153
2020-07-21 00:00:00,NON FAT DRY MILK ,1339,763,2,247,576,2102,8394
2020-07-28 00:00:00,NON FAT DRY MILK ,1343,1079,4,316,264,2422,8653
2020-06-02 00:00:00,NON FAT DRY MILK ,1264,421,-62,46,843,1685,10319
2020-06-09 00:00:00,NON FAT DRY MILK ,1375,500,111,79,875,1875,8778
2020-06-16 00:00:00,NON FAT DRY MILK ,1359,456,-16,-44,903,1815,8956
2020-06-23 00:00:00,NON FAT DRY MILK ,1363,448,4,-8,915,1811,9295
2020-06-30 00:00:00,NON FAT DRY MILK ,1412,664,49,216,748,2076,9592
2020-05-05 00:00:00,NON FAT DRY MILK ,1427,611,106,216,816,2038,9281
2020-05-12 00:00:00,NON FAT DRY MILK ,1346,514,-81,-97,832,1860,9359
2020-05-19 00:00:00,NON FAT DRY MILK ,1329,386,-17,-128,943,1715,9894
2020-05-26 00:00:00,NON FAT DRY MILK ,1326,375,-3,-11,951,1701,10024
2020-04-07 00:00:00,NON FAT DRY MILK ,1763,516,193,-307,1247,2279,9655
2020-04-14 00:00:00,NON FAT DRY MILK ,1478,450,-285,-66,1028,1928,9925
2020-04-21 00:00:00,NON FAT DRY MILK ,1414,563,-64,113,851,1977,10079
2020-04-28 00:00:00,NON FAT DRY MILK ,1321,395,-93,-168,926,1716,10480
2020-03-03 00:00:00,NON FAT DRY MILK ,307,1805,21,-274,-1498,2112,9850
2020-03-10 00:00:00,NON FAT DRY MILK ,180,1357,-127,-448,-1177,1537,8945
2020-03-17 00:00:00,NON FAT DRY MILK ,469,1190,289,-167,-721,1659,9442
2020-03-24 00:00:00,NON FAT DRY MILK ,1166,822,697,-368,344,1988,10098
2020-03-31 00:00:00,NON FAT DRY MILK ,1570,823,404,1,747,2393,10842
2020-02-04 00:00:00,NON FAT DRY MILK ,537,2105,-105,-55,-1568,2642,8942
2020-02-11 00:00:00,NON FAT DRY MILK ,359,2210,-178,105,-1851,2569,8577
2020-02-18 00:00:00,NON FAT DRY MILK ,224,2131,-135,-79,-1907,2355,9121
2020-02-25 00:00:00,NON FAT DRY MILK ,286,2079,62,-52,-1793,2365,9697
2020-01-07 00:00:00,NON FAT DRY MILK ,492,1884,-32,-176,-1392,2376,7542
2020-01-14 00:00:00,NON FAT DRY MILK ,633,1987,141,103,-1354,2620,7829
2020-01-21 00:00:00,NON FAT DRY MILK ,690,2020,57,33,-1330,2710,8533
2020-01-28 00:00:00,NON FAT DRY MILK ,642,2160,-48,140,-1518,2802,9015
