Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,RANDOM LENGTH LUMBER ,298,278,-35,155,20,576,2181
2021-07-06 00:00:00,RANDOM LENGTH LUMBER ,333,123,-34,-39,210,456,2236
2021-06-01 00:00:00,RANDOM LENGTH LUMBER ,251,278,17,54,-27,529,2259
2021-06-08 00:00:00,RANDOM LENGTH LUMBER ,291,248,40,-30,43,539,2268
2021-06-15 00:00:00,RANDOM LENGTH LUMBER ,303,248,12,0,55,551,2329
2021-06-22 00:00:00,RANDOM LENGTH LUMBER ,290,246,-13,-2,44,536,2067
2021-06-29 00:00:00,RANDOM LENGTH LUMBER ,367,162,77,-84,205,529,2128
2021-05-04 00:00:00,RANDOM LENGTH LUMBER ,409,259,16,-49,150,668,2539
2021-05-11 00:00:00,RANDOM LENGTH LUMBER ,331,295,-78,36,36,626,2230
2021-05-18 00:00:00,RANDOM LENGTH LUMBER ,257,274,-74,-21,-17,531,2211
2021-05-25 00:00:00,RANDOM LENGTH LUMBER ,234,224,-23,-50,10,458,2168
2021-04-06 00:00:00,RANDOM LENGTH LUMBER ,677,245,15,-88,432,922,2980
2021-04-13 00:00:00,RANDOM LENGTH LUMBER ,560,130,-117,-115,430,690,2814
2021-04-20 00:00:00,RANDOM LENGTH LUMBER ,509,262,-51,132,247,771,2824
2021-04-27 00:00:00,RANDOM LENGTH LUMBER ,393,308,-116,46,85,701,2684
2021-03-02 00:00:00,RANDOM LENGTH LUMBER ,698,264,-149,-116,434,962,3134
2021-03-09 00:00:00,RANDOM LENGTH LUMBER ,687,293,-11,29,394,980,3056
2021-03-16 00:00:00,RANDOM LENGTH LUMBER ,664,237,-23,-56,427,901,3059
2021-03-23 00:00:00,RANDOM LENGTH LUMBER ,726,253,62,16,473,979,3091
2021-03-30 00:00:00,RANDOM LENGTH LUMBER ,662,333,-64,80,329,995,3116
2021-02-02 00:00:00,RANDOM LENGTH LUMBER ,916,305,48,27,611,1221,2786
2021-02-09 00:00:00,RANDOM LENGTH LUMBER ,904,279,-12,-26,625,1183,2805
2021-02-16 00:00:00,RANDOM LENGTH LUMBER ,936,354,32,75,582,1290,3170
2021-02-23 00:00:00,RANDOM LENGTH LUMBER ,847,380,-89,26,467,1227,3293
2021-01-05 00:00:00,RANDOM LENGTH LUMBER ,855,299,162,-75,556,1154,2874
2021-01-12 00:00:00,RANDOM LENGTH LUMBER ,960,268,105,-31,692,1228,2723
2021-01-19 00:00:00,RANDOM LENGTH LUMBER ,941,270,-19,2,671,1211,2699
2021-01-26 00:00:00,RANDOM LENGTH LUMBER ,868,278,-73,8,590,1146,2773
2020-12-01 00:00:00,RANDOM LENGTH LUMBER ,839,321,54,-26,518,1160,3033
2020-12-08 00:00:00,RANDOM LENGTH LUMBER ,726,347,-113,26,379,1073,2936
2020-12-15 00:00:00,RANDOM LENGTH LUMBER ,779,360,53,13,419,1139,3083
2020-12-21 00:00:00,RANDOM LENGTH LUMBER ,707,386,-72,26,321,1093,3098
2020-12-29 00:00:00,RANDOM LENGTH LUMBER ,693,374,-14,-12,319,1067,3032
2020-11-03 00:00:00,RANDOM LENGTH LUMBER ,492,264,-34,-27,228,756,2648
2020-11-10 00:00:00,RANDOM LENGTH LUMBER ,602,284,110,20,318,886,2723
2020-11-17 00:00:00,RANDOM LENGTH LUMBER ,758,322,156,38,436,1080,2906
2020-11-24 00:00:00,RANDOM LENGTH LUMBER ,785,347,27,25,438,1132,3029
2020-10-06 00:00:00,RANDOM LENGTH LUMBER ,676,371,-61,-2,305,1047,3569
2020-10-13 00:00:00,RANDOM LENGTH LUMBER ,594,323,-82,-48,271,917,3433
2020-10-20 00:00:00,RANDOM LENGTH LUMBER ,521,296,-73,-27,225,817,3275
2020-10-27 00:00:00,RANDOM LENGTH LUMBER ,526,291,5,-5,235,817,3002
2020-09-01 00:00:00,RANDOM LENGTH LUMBER ,1238,433,-34,-446,805,1671,4180
2020-09-08 00:00:00,RANDOM LENGTH LUMBER ,1280,439,42,6,841,1719,3891
2020-09-15 00:00:00,RANDOM LENGTH LUMBER ,836,313,-444,-126,523,1149,3513
2020-09-22 00:00:00,RANDOM LENGTH LUMBER ,681,382,-155,69,299,1063,3505
2020-09-29 00:00:00,RANDOM LENGTH LUMBER ,737,373,56,-9,364,1110,3565
2020-08-04 00:00:00,RANDOM LENGTH LUMBER ,1122,777,80,19,345,1899,4338
2020-08-11 00:00:00,RANDOM LENGTH LUMBER ,1286,744,164,-33,542,2030,4346
2020-08-18 00:00:00,RANDOM LENGTH LUMBER ,1357,819,71,75,538,2176,4775
2020-08-25 00:00:00,RANDOM LENGTH LUMBER ,1272,879,-85,60,393,2151,4626
2020-07-07 00:00:00,RANDOM LENGTH LUMBER ,716,339,-30,-3,377,1055,2951
2020-07-14 00:00:00,RANDOM LENGTH LUMBER ,851,402,135,63,449,1253,3589
2020-07-21 00:00:00,RANDOM LENGTH LUMBER ,1087,606,236,204,481,1693,4000
2020-07-28 00:00:00,RANDOM LENGTH LUMBER ,1042,758,-45,152,284,1800,4178
2020-06-02 00:00:00,RANDOM LENGTH LUMBER ,470,441,33,-92,29,911,2561
2020-06-09 00:00:00,RANDOM LENGTH LUMBER ,420,457,-50,16,-37,877,2527
2020-06-16 00:00:00,RANDOM LENGTH LUMBER ,422,386,2,-71,36,808,2371
2020-06-23 00:00:00,RANDOM LENGTH LUMBER ,651,440,229,54,211,1091,2485
2020-06-30 00:00:00,RANDOM LENGTH LUMBER ,746,342,95,-98,404,1088,2620
2020-05-05 00:00:00,RANDOM LENGTH LUMBER ,271,784,63,20,-513,1055,2680
2020-05-12 00:00:00,RANDOM LENGTH LUMBER ,301,637,30,-147,-336,938,2596
2020-05-19 00:00:00,RANDOM LENGTH LUMBER ,372,636,71,-1,-264,1008,2576
2020-05-26 00:00:00,RANDOM LENGTH LUMBER ,437,533,65,-103,-96,970,2559
2020-04-07 00:00:00,RANDOM LENGTH LUMBER ,202,829,-59,-18,-627,1031,2805
2020-04-14 00:00:00,RANDOM LENGTH LUMBER ,218,816,16,-13,-598,1034,2752
2020-04-21 00:00:00,RANDOM LENGTH LUMBER ,223,738,5,-78,-515,961,2663
2020-04-28 00:00:00,RANDOM LENGTH LUMBER ,208,764,-15,26,-556,972,2766
2020-03-03 00:00:00,RANDOM LENGTH LUMBER ,1442,585,-919,-221,857,2027,3478
2020-03-10 00:00:00,RANDOM LENGTH LUMBER ,866,702,-576,117,164,1568,3187
2020-03-17 00:00:00,RANDOM LENGTH LUMBER ,355,595,-511,-107,-240,950,2664
