Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-03-09,EURO FX ,207588,105624,-15067,8957,101964,313212,722123
2021-03-02,EURO FX ,222655,96667,-5846,6531,125988,319322,698229
2021-02-02,EURO FX ,216887,79884,-21212,7129,137003,296771,675520
2021-02-09,EURO FX ,220943,80721,4056,837,140222,301664,673116
2021-02-16,EURO FX ,222895,82889,1952,2168,140006,305784,675761
2021-02-23,EURO FX ,228501,90136,5606,7247,138365,318637,696916
2021-01-05,EURO FX ,224832,81841,1984,2069,142991,306673,673532
2021-01-12,EURO FX ,228757,72867,3925,-8974,155890,301624,677952
2021-01-19,EURO FX ,236533,73067,7776,200,163466,309600,676515
2021-01-26,EURO FX ,238099,72755,1566,-312,165344,310854,677432
2020-12-01,EURO FX ,207302,67408,948,-696,139894,274710,654257
2020-12-08,EURO FX ,222521,66092,15219,-1316,156429,288613,683351
2020-12-15,EURO FX ,218710,76877,-3811,10785,141833,295587,657046
2020-12-21,EURO FX ,222443,78541,3733,1664,143902,300984,659499
2020-12-29,EURO FX ,222848,79772,405,1231,143076,302620,671643
2020-11-03,EURO FX ,208237,67888,-9206,6000,140349,276125,627754
2020-11-10,EURO FX ,202374,67087,-5863,-801,135287,269461,638993
2020-11-17,EURO FX ,203551,69591,1177,2504,133960,273142,637946
2020-11-24,EURO FX ,206354,68104,2803,-1487,138250,274458,644566
2020-10-06,EURO FX ,231369,57061,-10598,3210,174308,288430,652135
2020-10-13,EURO FX ,228295,59658,-3074,2597,168637,287953,646165
2020-10-20,EURO FX ,229878,63935,1583,4277,165943,293813,644667
2020-10-27,EURO FX ,217443,61888,-12435,-2047,155555,279331,636778
2020-09-01,EURO FX ,250867,54120,-11194,3811,196747,304987,698211
2020-09-08,EURO FX ,248683,51869,-2184,-2251,196814,300552,690782
2020-09-15,EURO FX ,230695,52119,-17988,250,178576,282814,658174
2020-09-22,EURO FX ,247049,56227,16354,4108,190822,303276,666412
2020-09-29,EURO FX ,241967,53851,-5082,-2376,188116,295818,655912
2020-08-04,EURO FX ,262109,81461,19982,-3107,180648,343570,704875
2020-08-11,EURO FX ,266078,66327,3969,-15134,199751,332405,706458
2020-08-18,EURO FX ,259244,62301,-6834,-4026,196943,321545,704050
2020-08-25,EURO FX ,262061,50309,2817,-11992,211752,312370,704077
2020-07-07,EURO FX ,185159,81562,4772,130,103597,266721,593341
2020-07-14,EURO FX ,194252,83340,9093,1778,110912,277592,604982
2020-07-21,EURO FX ,204185,79138,9933,-4202,125047,283323,636212
2020-07-28,EURO FX ,242127,84568,37942,5430,157559,326695,678965
2020-06-02,EURO FX ,174412,93172,-622,-6640,81240,267584,583384
2020-06-09,EURO FX ,184669,89020,10257,-4152,95649,273689,592915
2020-06-16,EURO FX ,187120,69988,2451,-19032,117132,257108,574939
2020-06-23,EURO FX ,190816,72368,3696,2380,118448,263184,585421
2020-06-30,EURO FX ,180387,81432,-10429,9064,98955,261819,579738
2020-05-05,EURO FX ,169272,92973,2008,5390,76299,262245,541624
2020-05-12,EURO FX ,171980,93840,2708,867,78140,265820,547329
2020-05-19,EURO FX ,167756,95194,-4224,1354,72562,262950,547206
2020-05-26,EURO FX ,175034,99812,7278,4618,75222,274846,556749
2020-04-07,EURO FX ,161185,81561,6138,761,79624,242746,554697
2020-04-14,EURO FX ,165078,78461,3893,-3100,86617,243539,543361
2020-04-21,EURO FX ,170378,83160,5300,4699,87218,253538,546661
2020-04-28,EURO FX ,167264,87583,-3114,4423,79681,254847,545082
2020-03-03,EURO FX ,151904,238607,-5683,-33001,-86703,390511,640357
2020-03-10,EURO FX ,153820,166487,1916,-72120,-12667,320307,659151
2020-03-17,EURO FX ,147133,114638,-6687,-51849,32495,261771,588116
2020-03-24,EURO FX ,152360,91070,5227,-23568,61290,243430,571086
2020-03-31,EURO FX ,155047,80800,2687,-10270,74247,235847,551752
2020-02-04,EURO FX ,166925,242005,-13728,2490,-75080,408930,594698
2020-02-11,EURO FX ,169475,255144,2550,13139,-85669,424619,612444
2020-02-18,EURO FX ,170586,262093,1111,6949,-91507,432679,617487
2020-02-25,EURO FX ,157587,271608,-12999,9515,-114021,429195,625563
2020-01-07,EURO FX ,164813,226477,-4039,-16720,-61664,391290,555940
2020-01-14,EURO FX ,163881,212063,-932,-14414,-48182,375944,571239
2020-01-21,EURO FX ,168216,215235,4335,3172,-47019,383451,582164
2020-01-28,EURO FX ,180653,239515,12437,24280,-58862,420168,598793
2019-12-03,EURO FX ,164392,233441,-5524,2109,-69049,397833,590124
2019-12-10,EURO FX ,164732,232375,340,-1066,-67643,397107,646417
2019-12-17,EURO FX ,165355,231049,623,-1326,-65694,396404,542923
2019-12-31,EURO FX ,168852,243197,8589,9991,-74345,412049,557585
2019-11-05,EURO FX ,164183,224929,-2357,5034,-60746,389112,563336
2019-11-12,EURO FX ,170250,227919,6067,2990,-57669,398169,569527
2019-11-19,EURO FX ,163898,226401,-6352,-1518,-62503,390299,577689
2019-11-26,EURO FX ,169916,231332,6018,4931,-61416,401248,578450
2019-10-01,EURO FX ,172258,238236,11571,16827,-65978,410494,511934
2019-10-08,EURO FX ,162777,238190,-9481,-46,-75413,400967,514638
2019-10-15,EURO FX ,153261,230127,-9516,-8063,-76866,383388,517182
2019-10-22,EURO FX ,168653,219703,15392,-10424,-51050,388356,528545
2019-10-29,EURO FX ,166540,219895,-2113,192,-53355,386435,538847
2019-09-03,EURO FX ,186144,235280,12693,23025,-49136,421424,546954
2019-09-10,EURO FX ,180535,230377,-5609,-4903,-49842,410912,585117
2019-09-17,EURO FX ,164272,232831,-16263,2454,-68559,397103,503272
2019-09-24,EURO FX ,160687,221409,-3585,-11422,-60722,382096,502612
2019-08-06,EURO FX ,177988,221998,2856,-7117,-44010,399986,545453
2019-08-13,EURO FX ,167214,213863,-10774,-8135,-46649,381077,550607
2019-08-20,EURO FX ,168455,206432,1241,-7431,-37977,374887,542806
2019-08-27,EURO FX ,173451,212255,4996,5823,-38804,385706,525065
