Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-03-09,BRITISH POUND STERLING ,61271,27360,-3867,-1696,33911,88631,181373
2021-03-02,BRITISH POUND STERLING ,65138,29056,-3128,-8232,36082,94194,169363
2021-02-02,BRITISH POUND STERLING ,53658,44042,6298,4647,9616,97700,161100
2021-02-09,BRITISH POUND STERLING ,60513,39395,6855,-4647,21118,99908,170161
2021-02-16,BRITISH POUND STERLING ,60269,38102,-244,-1293,22167,98371,171218
2021-02-23,BRITISH POUND STERLING ,68266,37288,7997,-814,30978,105554,176721
2021-01-05,BRITISH POUND STERLING ,35526,31861,-209,958,3665,67387,143209
2021-01-12,BRITISH POUND STERLING ,47935,34993,12409,3132,12942,82928,152924
2021-01-19,BRITISH POUND STERLING ,45904,32199,-2031,-2794,13705,78103,147096
2021-01-26,BRITISH POUND STERLING ,47360,39395,1456,7196,7965,86755,154558
2020-12-01,BRITISH POUND STERLING ,37087,44986,6249,-2982,-7899,82073,146966
2020-12-08,BRITISH POUND STERLING ,39344,33634,2257,-11352,5710,72978,164184
2020-12-15,BRITISH POUND STERLING ,35128,31060,-4216,-2574,4068,66188,142242
2020-12-21,BRITISH POUND STERLING ,37550,31518,2422,458,6032,69068,144606
2020-12-29,BRITISH POUND STERLING ,35735,30903,-1815,-615,4832,66638,139870
2020-11-03,BRITISH POUND STERLING ,27701,38928,-4098,469,-11227,66629,140437
2020-11-10,BRITISH POUND STERLING ,27872,45567,171,6639,-17695,73439,141346
2020-11-17,BRITISH POUND STERLING ,27454,47200,-418,1633,-19746,74654,139010
2020-11-24,BRITISH POUND STERLING ,30838,47968,3384,768,-17130,78806,142958
2020-10-06,BRITISH POUND STERLING ,40698,51996,1482,35,-11298,92694,156467
2020-10-13,BRITISH POUND STERLING ,36195,45997,-4503,-5999,-9802,82192,148279
2020-10-20,BRITISH POUND STERLING ,39836,41836,3641,-4161,-2000,81672,146356
2020-10-27,BRITISH POUND STERLING ,31799,38459,-8037,-3377,-6660,70258,139984
2020-09-01,BRITISH POUND STERLING ,49213,42901,3823,3111,6312,92114,186588
2020-09-08,BRITISH POUND STERLING ,46590,33860,-2623,-9041,12730,80450,197524
2020-09-15,BRITISH POUND STERLING ,43801,41508,-2789,7648,2293,85309,149989
2020-09-22,BRITISH POUND STERLING ,43487,40523,-314,-985,2964,84010,152613
2020-09-29,BRITISH POUND STERLING ,39216,51961,-4271,11438,-12745,91177,159049
2020-08-04,BRITISH POUND STERLING ,45977,60704,6648,-4034,-14727,106681,176728
2020-08-11,BRITISH POUND STERLING ,48053,50874,2076,-9830,-2821,98927,179071
2020-08-18,BRITISH POUND STERLING ,54310,47806,6257,-3068,6504,102116,187043
2020-08-25,BRITISH POUND STERLING ,45390,39790,-8920,-8016,5600,85180,175363
2020-07-07,BRITISH POUND STERLING ,39892,56300,5468,886,-16408,96192,180696
2020-07-14,BRITISH POUND STERLING ,43175,56761,3283,461,-13586,99936,179340
2020-07-21,BRITISH POUND STERLING ,46230,61310,3055,4549,-15080,107540,180337
2020-07-28,BRITISH POUND STERLING ,39329,64738,-6901,3428,-25409,104067,178912
2020-06-02,BRITISH POUND STERLING ,26970,63014,-12222,1565,-36044,89984,190138
2020-06-09,BRITISH POUND STERLING ,28893,52941,1923,-10073,-24048,81834,185606
2020-06-16,BRITISH POUND STERLING ,29378,45376,485,-7565,-15998,74754,166808
2020-06-23,BRITISH POUND STERLING ,29654,48170,276,2794,-18516,77824,170455
2020-06-30,BRITISH POUND STERLING ,34424,55414,4770,7244,-20990,89838,186144
2020-05-05,BRITISH POUND STERLING ,28096,40101,-3370,1954,-12005,68197,161083
