Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,JAPANESE YEN ,40440,96690,8815,-4071,-56250,137130,203727
2021-07-06 00:00:00,JAPANESE YEN ,31625,100761,4245,3486,-69136,132386,205341
2021-06-01 00:00:00,JAPANESE YEN ,29462,76577,5299,2258,-47115,106039,162091
2021-06-08 00:00:00,JAPANESE YEN ,27248,64562,-2214,-12015,-37314,91810,161592
2021-06-15 00:00:00,JAPANESE YEN ,22974,69824,-4274,5262,-46850,92798,155359
2021-06-22 00:00:00,JAPANESE YEN ,34118,87980,11144,18156,-53862,122098,190545
2021-06-29 00:00:00,JAPANESE YEN ,27380,97275,-6738,9295,-69895,124655,195698
2021-05-04 00:00:00,JAPANESE YEN ,31208,72700,1535,-5482,-41492,103908,152676
2021-05-11 00:00:00,JAPANESE YEN ,30491,72219,-717,-481,-41728,102710,152404
2021-05-18 00:00:00,JAPANESE YEN ,24965,75913,-5526,3694,-50948,100878,154727
2021-05-25 00:00:00,JAPANESE YEN ,24163,74319,-802,-1594,-50156,98482,153196
2021-04-06 00:00:00,JAPANESE YEN ,26794,84783,2070,578,-57989,111577,164310
2021-04-13 00:00:00,JAPANESE YEN ,27682,85994,888,1211,-58312,113676,165431
2021-04-20 00:00:00,JAPANESE YEN ,26617,86436,-1065,442,-59819,113053,162649
2021-04-27 00:00:00,JAPANESE YEN ,29673,78182,3056,-8254,-48509,107855,154894
2021-03-02 00:00:00,JAPANESE YEN ,61259,41989,-5411,3941,19270,103248,189270
2021-03-09 00:00:00,JAPANESE YEN ,64027,57513,2768,15524,6514,121540,211347
2021-03-16 00:00:00,JAPANESE YEN ,26003,65371,-38024,7858,-39368,91374,145951
2021-03-23 00:00:00,JAPANESE YEN ,27524,81049,1521,15678,-53525,108573,160581
2021-03-30 00:00:00,JAPANESE YEN ,24724,84205,-2800,3156,-59481,108929,166091
2021-02-02 00:00:00,JAPANESE YEN ,69602,24973,6139,6502,44629,94575,190948
2021-02-09 00:00:00,JAPANESE YEN ,60719,26101,-8883,1128,34618,86820,183901
2021-02-16 00:00:00,JAPANESE YEN ,66732,29550,6013,3449,37182,96282,188119
2021-02-23 00:00:00,JAPANESE YEN ,66670,38048,-62,8498,28622,104718,183247
2021-01-05 00:00:00,JAPANESE YEN ,69163,18973,5586,2746,50190,88136,206963
2021-01-12 00:00:00,JAPANESE YEN ,63857,13337,-5306,-5636,50520,77194,190811
2021-01-19 00:00:00,JAPANESE YEN ,64143,14129,286,792,50014,78272,191540
2021-01-26 00:00:00,JAPANESE YEN ,63463,18471,-680,4342,44992,81934,193822
2020-12-01 00:00:00,JAPANESE YEN ,62449,14946,7977,716,47503,77395,185873
2020-12-08 00:00:00,JAPANESE YEN ,63585,15419,1136,473,48166,79004,193326
2020-12-15 00:00:00,JAPANESE YEN ,65376,21413,1791,5994,43963,86789,193317
2020-12-21 00:00:00,JAPANESE YEN ,66970,20877,1594,-536,46093,87847,196845
2020-12-29 00:00:00,JAPANESE YEN ,63577,16227,-3393,-4650,47350,79804,194454
2020-11-03 00:00:00,JAPANESE YEN ,51012,22914,4881,-5324,28098,73926,184751
2020-11-10 00:00:00,JAPANESE YEN ,55644,13750,4632,-9164,41894,69394,183518
2020-11-17 00:00:00,JAPANESE YEN ,40313,10646,-15331,-3104,29667,50959,165073
2020-11-24 00:00:00,JAPANESE YEN ,54472,14230,14159,3584,40242,68702,179503
2020-10-06 00:00:00,JAPANESE YEN ,45779,24677,-1756,1931,21102,70456,163024
2020-10-13 00:00:00,JAPANESE YEN ,47245,27269,1466,2592,19976,74514,165616
2020-10-20 00:00:00,JAPANESE YEN ,46524,32341,-721,5072,14183,78865,166091
