Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-07-13 00:00:00,LIVE CATTLE ,106260,41603,-5491,1978,64657,147863,297188
2021-07-06 00:00:00,LIVE CATTLE ,111751,39625,-2313,-1366,72126,151376,301276
2021-06-01 00:00:00,LIVE CATTLE ,114916,55430,-2622,4483,59486,170346,307484
2021-06-08 00:00:00,LIVE CATTLE ,114447,52959,-469,-2471,61488,167406,299937
2021-06-15 00:00:00,LIVE CATTLE ,117766,48445,3319,-4514,69321,166211,298470
2021-06-22 00:00:00,LIVE CATTLE ,118184,43270,418,-5175,74914,161454,299739
2021-06-29 00:00:00,LIVE CATTLE ,114064,40991,-4120,-2279,73073,155055,298250
2021-05-04 00:00:00,LIVE CATTLE ,116956,61527,-409,6416,55429,178483,319895
2021-05-11 00:00:00,LIVE CATTLE ,118722,55568,1766,-5959,63154,174290,317964
2021-05-18 00:00:00,LIVE CATTLE ,119080,52125,358,-3443,66955,171205,321653
2021-05-25 00:00:00,LIVE CATTLE ,117538,50947,-1542,-1178,66591,168485,314914
2021-04-06 00:00:00,LIVE CATTLE ,134251,41568,8716,-111,92683,175819,343764
2021-04-13 00:00:00,LIVE CATTLE ,133829,43526,-422,1958,90303,177355,338260
2021-04-20 00:00:00,LIVE CATTLE ,124458,50253,-9371,6727,74205,174711,329481
2021-04-27 00:00:00,LIVE CATTLE ,117365,55111,-7093,4858,62254,172476,325889
2021-03-02 00:00:00,LIVE CATTLE ,124188,40556,-5638,237,83632,164744,334771
2021-03-09 00:00:00,LIVE CATTLE ,123289,39413,-899,-1143,83876,162702,332811
2021-03-16 00:00:00,LIVE CATTLE ,123037,37752,-252,-1661,85285,160789,339538
2021-03-23 00:00:00,LIVE CATTLE ,120460,41830,-2577,4078,78630,162290,335893
2021-03-30 00:00:00,LIVE CATTLE ,125535,41679,5075,-151,83856,167214,337652
2021-02-02 00:00:00,LIVE CATTLE ,119530,40335,3852,-913,79195,159865,326813
2021-02-09 00:00:00,LIVE CATTLE ,126480,34385,6950,-5950,92095,160865,327998
2021-02-16 00:00:00,LIVE CATTLE ,133748,37547,7268,3162,96201,171295,335474
2021-02-23 00:00:00,LIVE CATTLE ,129826,40319,-3922,2772,89507,170145,335763
2021-01-05 00:00:00,LIVE CATTLE ,97429,40704,-548,3033,56725,138133,295130
2021-01-12 00:00:00,LIVE CATTLE ,98495,46458,1066,5754,52037,144953,309816
2021-01-19 00:00:00,LIVE CATTLE ,101532,50177,3037,3719,51355,151709,319711
2021-01-26 00:00:00,LIVE CATTLE ,115678,41248,14146,-8929,74430,156926,330153
2020-12-01 00:00:00,LIVE CATTLE ,92093,45186,4740,1470,46907,137279,276540
2020-12-08 00:00:00,LIVE CATTLE ,92081,42902,-12,-2284,49179,134983,280347
2020-12-15 00:00:00,LIVE CATTLE ,95963,43399,3882,497,52564,139362,285447
2020-12-21 00:00:00,LIVE CATTLE ,99935,40302,3972,-3097,59633,140237,286828
2020-12-29 00:00:00,LIVE CATTLE ,97977,37671,-1958,-2631,60306,135648,290656
2020-11-03 00:00:00,LIVE CATTLE ,81361,56897,-2051,-1305,24464,138258,274781
2020-11-10 00:00:00,LIVE CATTLE ,80636,46238,-725,-10659,34398,126874,272937
2020-11-17 00:00:00,LIVE CATTLE ,85280,42393,4644,-3845,42887,127673,274607
2020-11-24 00:00:00,LIVE CATTLE ,87353,43716,2073,1323,43637,131069,275793
2020-10-06 00:00:00,LIVE CATTLE ,97587,35142,-7040,-3796,62445,132729,292713
2020-10-13 00:00:00,LIVE CATTLE ,96600,39524,-987,4382,57076,136124,274870
2020-10-20 00:00:00,LIVE CATTLE ,89369,48024,-7231,8500,41345,137393,269100
2020-10-27 00:00:00,LIVE CATTLE ,83412,58202,-5957,10178,25210,141614,276956
2020-09-01 00:00:00,LIVE CATTLE ,101734,38826,-501,1614,62908,140560,296230
2020-09-08 00:00:00,LIVE CATTLE ,102011,37891,277,-935,64120,139902,292001
2020-09-15 00:00:00,LIVE CATTLE ,102551,36437,540,-1454,66114,138988,293213
2020-09-22 00:00:00,LIVE CATTLE ,99890,37361,-2661,924,62529,137251,294392
2020-09-29 00:00:00,LIVE CATTLE ,104627,38938,4737,1577,65689,143565,303540
2020-08-04 00:00:00,LIVE CATTLE ,84504,43802,3527,557,40702,128306,286440
2020-08-11 00:00:00,LIVE CATTLE ,89728,40101,5224,-3701,49627,129829,288083
2020-08-18 00:00:00,LIVE CATTLE ,98726,38144,8998,-1957,60582,136870,291071
2020-08-25 00:00:00,LIVE CATTLE ,102235,37212,3509,-932,65023,139447,298063
2020-07-07 00:00:00,LIVE CATTLE ,73759,45411,2778,-1692,28348,119170,271400
2020-07-14 00:00:00,LIVE CATTLE ,70466,43137,-3293,-2274,27329,113603,264808
2020-07-21 00:00:00,LIVE CATTLE ,76046,42907,5580,-230,33139,118953,278666
2020-07-28 00:00:00,LIVE CATTLE ,80977,43245,4931,338,37732,124222,281860
2020-06-02 00:00:00,LIVE CATTLE ,73758,40269,3051,4223,33489,114027,268330
2020-06-09 00:00:00,LIVE CATTLE ,69927,42290,-3831,2021,27637,112217,267373
2020-06-16 00:00:00,LIVE CATTLE ,67714,43710,-2213,1420,24004,111424,272003
2020-06-23 00:00:00,LIVE CATTLE ,70703,46268,2989,2558,24435,116971,277497
2020-06-30 00:00:00,LIVE CATTLE ,70981,47103,278,835,23878,118084,275097
2020-05-05 00:00:00,LIVE CATTLE ,70630,41289,-1737,-550,29341,111919,273107
2020-05-12 00:00:00,LIVE CATTLE ,69544,35186,-1086,-6103,34358,104730,260608
2020-05-19 00:00:00,LIVE CATTLE ,69511,35186,-33,0,34325,104697,258012
2020-05-26 00:00:00,LIVE CATTLE ,70707,36046,1196,860,34661,106753,260172
2020-04-07 00:00:00,LIVE CATTLE ,67674,47565,-6122,-2365,20109,115239,265359
2020-04-14 00:00:00,LIVE CATTLE ,70601,46242,2927,-1323,24359,116843,265223
2020-04-21 00:00:00,LIVE CATTLE ,71208,43869,607,-2373,27339,115077,265434
2020-04-28 00:00:00,LIVE CATTLE ,72367,41839,1159,-2030,30528,114206,266919
2020-03-03 00:00:00,LIVE CATTLE ,93021,68498,-1860,6695,24523,161519,344960
2020-03-10 00:00:00,LIVE CATTLE ,91703,72093,-1318,3595,19610,163796,332804
2020-03-17 00:00:00,LIVE CATTLE ,81695,65251,-10008,-6842,16444,146946,299434
2020-03-24 00:00:00,LIVE CATTLE ,77494,55494,-4201,-9757,22000,132988,275540
2020-03-31 00:00:00,LIVE CATTLE ,73796,49930,-3698,-5564,23866,123726,264447
2020-02-04 00:00:00,LIVE CATTLE ,113267,42722,-18377,-9671,70545,155989,343504
2020-02-11 00:00:00,LIVE CATTLE ,99314,42097,-13953,-625,57217,141411,333065
2020-02-18 00:00:00,LIVE CATTLE ,101101,50174,1787,8077,50927,151275,338621
2020-02-25 00:00:00,LIVE CATTLE ,94881,61803,-6220,11629,33078,156684,347268
2020-01-07 00:00:00,LIVE CATTLE ,142231,57231,-756,730,85000,199462,381118
2020-01-14 00:00:00,LIVE CATTLE ,145589,58900,3358,1669,86689,204489,394435
2020-01-21 00:00:00,LIVE CATTLE ,148073,56434,2484,-2466,91639,204507,400533
2020-01-28 00:00:00,LIVE CATTLE ,131644,52393,-16429,-4041,79251,184037,370156
2019-12-03 00:00:00,LIVE CATTLE ,140036,61709,827,1952,78327,201745,382583
2019-12-10 00:00:00,LIVE CATTLE ,142277,58673,2241,-3036,83604,200950,377113
2019-12-17 00:00:00,LIVE CATTLE ,151165,58343,8888,-330,92822,209508,386538
