Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2021-03-09,NEW ZEALAND DOLLAR ,32664,15538,839,121,17126,48202,51380
2021-03-02,NEW ZEALAND DOLLAR ,31825,15417,1403,-356,16408,47242,48587
2021-02-02,NEW ZEALAND DOLLAR ,30501,18854,2324,5435,11647,49355,50685
2021-02-09,NEW ZEALAND DOLLAR ,29133,17589,-1368,-1265,11544,46722,48655
2021-02-16,NEW ZEALAND DOLLAR ,30243,16532,1110,-1057,13711,46775,48103
2021-02-23,NEW ZEALAND DOLLAR ,30422,15773,179,-759,14649,46195,48209
2021-01-05,NEW ZEALAND DOLLAR ,26552,14556,-1287,-749,11996,41108,47194
2021-01-12,NEW ZEALAND DOLLAR ,26131,11424,-421,-3132,14707,37555,44757
2021-01-19,NEW ZEALAND DOLLAR ,27997,12014,1866,590,15983,40011,46244
2021-01-26,NEW ZEALAND DOLLAR ,28177,13419,180,1405,14758,41596,46804
2020-12-01,NEW ZEALAND DOLLAR ,32806,23748,571,-175,9058,56554,55345
2020-12-08,NEW ZEALAND DOLLAR ,34730,24180,1924,432,10550,58910,61261
2020-12-15,NEW ZEALAND DOLLAR ,28739,14546,-5991,-9634,14193,43285,47402
2020-12-21,NEW ZEALAND DOLLAR ,28710,15056,-29,510,13654,43766,48309
2020-12-29,NEW ZEALAND DOLLAR ,27839,15305,-871,249,12534,43144,47915
2020-11-03,NEW ZEALAND DOLLAR ,21903,14852,-120,-176,7051,36755,40400
2020-11-10,NEW ZEALAND DOLLAR ,25695,17978,3792,3126,7717,43673,46065
2020-11-17,NEW ZEALAND DOLLAR ,29325,20457,3630,2479,8868,49782,50687
2020-11-24,NEW ZEALAND DOLLAR ,32235,23923,2910,3466,8312,56158,54640
2020-10-06,NEW ZEALAND DOLLAR ,16755,11665,-345,-2106,5090,28420,34612
2020-10-13,NEW ZEALAND DOLLAR ,20227,13737,3472,2072,6490,33964,38209
2020-10-20,NEW ZEALAND DOLLAR ,19897,13295,-330,-442,6602,33192,37295
2020-10-27,NEW ZEALAND DOLLAR ,22023,15028,2126,1733,6995,37051,40388
2020-09-01,NEW ZEALAND DOLLAR ,21434,14468,1678,-1100,6966,35902,40244
